packageName,className,methodName,apis
org.lionsoul.jcseg.elasticsearch,AppTest,testApp,[junit:junit]
org.lionsoul.jcseg.server,JcsegServer,init,[org.eclipse.jetty:jetty-server]
org.lionsoul.jcseg.server,JcsegGlobalResource,getConfig,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegAnalyzerProvider,get,[org.lionsoul:jcseg-analyzer]
org.lionsoul.jcseg.opensearch.index.analysis,JcsegTokenizerTokenizerFactory,create,"[org.apache.lucene:lucene-core,org.lionsoul:jcseg-analyzer,org.lionsoul:jcseg-core]"
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegAnalyzerProvider,"","[org.elasticsearch:elasticsearch,org.lionsoul:jcseg-analyzer,org.lionsoul:jcseg-core]"
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegAnalyzerProvider,getType,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.elasticsearch,AppTest,suite,[junit:junit]
org.lionsoul.jcseg.opensearch.index.analysis,JcsegAnalyzerProvider,get,[org.lionsoul:jcseg-analyzer]
org.lionsoul.jcseg.opensearch.index.analysis,JcsegNLPAnalyzerProvider,getType,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.opensearch.index.analysis,JcsegMostAnalyzerProvider,"",[org.opensearch:opensearch]
org.lionsoul.jcseg.opensearch.index.analysis,JcsegAnalyzerProvider,"","[org.lionsoul:jcseg-analyzer,org.lionsoul:jcseg-core,org.opensearch:opensearch]"
org.lionsoul.jcseg.analyzer,JcsegTokenizer,end,[org.apache.lucene:lucene-core]
org.lionsoul.jcseg.analyzer,JcsegTokenizerFactory,create,"[org.apache.lucene:lucene-core,org.lionsoul:jcseg-core]"
org.lionsoul.jcseg.elasticsearch.plugin,AnalysisJcsegPlugin,createSingletonDictionary,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.analyzer,JcsegAnalyzer,getConfig,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.opensearch.index.analysis,JcsegNGramAnalyzerProvider,getType,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegSimpleAnalyzerProvider,getType,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.analyzer,AppTest,suite,[junit:junit]
org.lionsoul.jcseg.opensearch.plugin,AnalysisJcsegPlugin,"","[org.lionsoul:jcseg-core,org.opensearch:opensearch]"
org.lionsoul.jcseg.server,JcsegGlobalResource,removeConfig,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.server,JcsegServerConfig,resetFromFile,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.server.controller,KeyphraseController,run,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.server.controller,MainController,"",[org.eclipse.jetty:jetty-server]
org.lionsoul.jcseg.server,JcsegServer,resetJcsegTaskConfig,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.opensearch.index.analysis,JcsegDelimiterAnalyzerProvider,getType,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.server,JcsegServer,stop,[org.eclipse.jetty:jetty-server]
org.lionsoul.jcseg.elasticsearch.plugin,AnalysisJcsegPlugin,getAnalyzers,"[org.apache.lucene:lucene-core,org.elasticsearch:elasticsearch]"
org.lionsoul.jcseg.server.core,JSONWriter,vector2JsonString,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegNLPAnalyzerProvider,getType,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.opensearch.index.analysis,JcsegComplexAnalyzerProvider,getType,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.opensearch.index.analysis,JcsegMostAnalyzerProvider,getType,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.elasticsearch.index.analysis,JcsegMostAnalyzerProvider,"",[org.elasticsearch:elasticsearch]
org.lionsoul.jcseg.opensearch.index.analysis,JcsegDetectAnalyzerProvider,getType,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.analyzer,JcsegTokenizerFactory,"","[org.apache.lucene:lucene-analyzers-common,org.lionsoul:jcseg-core]"
org.lionsoul.jcseg.server,JcsegGlobalResource,addDict,[org.lionsoul:jcseg-core]
org.lionsoul.jcseg.server,JcsegGlobalResource,removeDict,[org.lionsoul:jcseg-core]
