packageName,className,methodName,apis
org.wltea.analyzer.query,IKQueryExpressionParser,parseSyntax,[org.apache.lucene:lucene-core]
org.wltea.analyzer.lucene,IKTokenizerFactory,inform,[org.apache.lucene:lucene-analyzers-common]
org.wltea.analyzer.lucene,IKAnalyzer,createComponents,[org.apache.lucene:lucene-core]
org.wltea.analyzer.lucene,IKAnalyzer,"",[org.apache.lucene:lucene-core]
org.wltea.analyzer.query,IKQueryExpressionParser,toBooleanQuery,[org.apache.lucene:lucene-core]
org.wltea.analyzer.query,IKQueryExpressionParser,"",[org.apache.lucene:lucene-core]
org.wltea.analyzer.query,IKQueryExpressionParser,parseExp,[org.apache.lucene:lucene-core]
org.wltea.analyzer.lucene,IKTokenizer,incrementToken,[org.apache.lucene:lucene-core]
org.wltea.analyzer.lucene,IKTokenizerFactory,"",[org.apache.lucene:lucene-analyzers-common]
org.wltea.analyzer.lucene,IKTokenizerFactory,canUpdate,[org.apache.lucene:lucene-analyzers-common]
org.wltea.analyzer.lucene,IKTokenizer,"",[org.apache.lucene:lucene-core]
org.wltea.analyzer.lucene,IKTokenizerFactory,update,[org.apache.lucene:lucene-analyzers-common]
org.wltea.analyzer.query,SWMCQueryBuilder,create,[org.apache.lucene:lucene-core]
org.wltea.analyzer.query,IKQueryExpressionParser,toTermRangeQuery,[org.apache.lucene:lucene-core]
org.wltea.analyzer.lucene,IKTokenizer,init,[org.apache.lucene:lucene-core]
org.wltea.analyzer.lucene,IKTokenizerFactory,create,[org.apache.lucene:lucene-core]
org.wltea.analyzer.query,SWMCQueryBuilder,getSWMCQuery,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
org.wltea.analyzer.lucene,IKTokenizer,end,[org.apache.lucene:lucene-core]
org.wltea.analyzer.query,IKQueryExpressionParser,main,[org.apache.lucene:lucene-core]
org.wltea.analyzer.lucene,IKTokenizer,reset,[org.apache.lucene:lucene-core]
