packageName,className,methodName,apis
edu.cmu.lti.oaqa.flexneuart.fwdindx,MapDbBackend,close,[org.mapdb:mapdb]
edu.cmu.lti.oaqa.flexneuart.letor.external,WordEntryInfo,unsetQty,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.apps,BaseQueryApp,addCandGenOpts,[commons-cli:commons-cli]
edu.cmu.lti.oaqa.flexneuart.utils,RandomUtilsTest,doSimpleTestReservoirSample,[junit:junit]
edu.cmu.lti.oaqa.nmslib,ReplyEntry,read,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.apps,AnswerBasedQRELGenerator,main,"[args4j:args4j,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.fwdindx,LuceneDbBackend,close,[org.apache.lucene:lucene-core]
edu.cmu.lti.oaqa.flexneuart.letor,FeatExtrSparseDocEmbedDotProdSimilarity,"",[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.letor.external,ScoringException,scheme,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.utils,ParamHelper,getCommandLine,[commons-cli:commons-cli]
edu.cmu.lti.oaqa.nmslib,ReplyEntry,compareTo,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.giza,GizaFilterAndRecoderTest,"",[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.apps,GenFeaturesAppImpl,addOptions,[commons-cli:commons-cli]
edu.cmu.lti.oaqa.flexneuart.utils,DataEntryReader,"",[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.apps,CollectionSplitterBase,parseOptions,"[commons-cli:commons-cli,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.fwdindx,LuceneDbBackend,initIndexForWriting,[org.apache.lucene:lucene-core]
edu.cmu.lti.oaqa.flexneuart.giza,GizaVocabularyFilterStand,readVocFile,[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.giza,GizaVocabularyReader,"",[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.letor.external,WordEntryInfo,getWord,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.nmslib,QueryService,"",[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.fwdindx,BackendTest,testOneBackend,"[commons-io:commons-io,junit:junit]"
edu.cmu.lti.oaqa.flexneuart.fwdindx,LuceneDbBackend,"","[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.letor.external,TextEntryRaw,write,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.utils,CompressUtilsTest,test,[junit:junit]
ciir.umass.edu.eval,EvaluatorTest,testLambdaRank,[junit:junit]
edu.cmu.lti.oaqa.flexneuart.letor.external,TextEntryRaw,fieldForId,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.utils,StringUtilsTest,TestTruncAt,[junit:junit]
ciir.umass.edu.eval,EvaluatorTest,testAdaRank,[junit:junit]
edu.cmu.lti.oaqa.flexneuart.apps,ExportTrainCEDR,writeOneEntryData,[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.apps,CheckDenseSparseExportScores,"","[args4j:args4j,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.letor,FeatureExtractor,saveFeatureWeights,[com.googlecode.matrix-toolkits-java:mtj]
edu.cmu.lti.oaqa.flexneuart.letor.external,ScoringException,setFieldValue,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.apps,BuildFwdIndexApp,Usage,[commons-cli:commons-cli]
edu.cmu.lti.oaqa.flexneuart.giza,GizaFilterAndRecoderTest,testWordProbSrcWordId,"[junit:junit,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.giza,GizaTranTableReaderAndRecoder,getTargetWordProb,[net.openhft:koloboke-api-jdk6-7]
edu.cmu.lti.oaqa.flexneuart.resources,RestrictedJsonConfig,getReqParamFloat,[com.google.code.gson:gson]
edu.cmu.lti.oaqa.flexneuart.letor.external,ScoringException,getFieldValue,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.letor.external,WordEntryInfo,isSetIDF,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.apps,CollectionSplitterBase,showUsage,[commons-cli:commons-cli]
edu.cmu.lti.oaqa.flexneuart.apps,ExportTrainNegSampleBase,addOptionsDesc,[commons-cli:commons-cli]
edu.cmu.lti.oaqa.flexneuart.letor.external,WordEntryInfo,setIDFIsSet,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.fwdindx,ForwardIndexBinaryDataDict,readIndex,[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.utils,EvalUtils,"",[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.utils,XmlIteratorTest,test4,[junit:junit]
edu.cmu.lti.oaqa.nmslib,QueryException,scheme,[org.apache.thrift:libthrift]
ciir.umass.edu.eval,EvaluatorTest,testRankBoost,[junit:junit]
edu.cmu.lti.oaqa.flexneuart.apps,ExportTrainBase,readAddOptions,[commons-cli:commons-cli]
edu.cmu.lti.oaqa.flexneuart.utils,VectorUtils,createInterleavedInnerProdQueryFeatVect,[com.googlecode.matrix-toolkits-java:mtj]
ciir.umass.edu.eval,EvaluatorTest,testCLINoArgs,[junit:junit]
edu.cmu.lti.oaqa.flexneuart.apps,CheckSparseExportScores,"","[args4j:args4j,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.apps,ExportTrainNegSampleBase,"",[org.slf4j:slf4j-api]
edu.cmu.lti.oaqa.flexneuart.apps,FilterVocabulary,main,"[commons-cli:commons-cli,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.fwdindx,MapDbBackend,openIndexForReading,"[org.mapdb:mapdb,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.flexneuart.letor,FeatureExtractor,initResultSet,[com.googlecode.matrix-toolkits-java:mtj]
edu.cmu.lti.oaqa.flexneuart.letor.external,WordEntryInfo,read,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.nmslib,QueryException,validate,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.letor.external,ScoringException,compareTo,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.letor.external,TextEntryParsed,compareTo,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.flexneuart.simil,LCSIntTest,LCSWrapper,"[junit:junit,org.slf4j:slf4j-api]"
edu.cmu.lti.oaqa.nmslib,ReplyEntry,hashCode,[org.apache.thrift:libthrift]
edu.cmu.lti.oaqa.nmslib,ReplyEntry,write,[org.apache.thrift:libthrift]
