packageName,className,methodName,apis
org.sifarish.etl,TextFieldTokenNormalizer,fuzzymatchWithUnnormalized,[org.apache.commons:commons-lang3]
org.sifarish.realtime,DitheringBolt,process,[com.google.guava:guava]
org.sifarish.etl,StructuredTextAnalyzer,"","[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
org.sifarish.realtime,DitheringBolt,intialize,[com.google.guava:guava]
org.sifarish.etl,CountryStandardFormat,emailFormat,[org.apache.commons:commons-lang3]
org.sifarish.etl,TextFieldTokenNormalizer,fuzzymatchWithNormalized,[org.apache.commons:commons-lang3]
org.sifarish.etl,UnitedStatesStandardFormat,streetAddressOneFormat,[org.apache.commons:commons-lang3]
org.sifarish.realtime,DitheringBolt,"",[com.google.guava:guava]
org.sifarish.common,TextAnalyzer,"","[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-analyzers-morfologik,org.apache.lucene:lucene-core]"
org.sifarish.etl,UnitedStatesStandardFormat,streetAddressTwoFormat,[org.apache.commons:commons-lang3]
org.sifarish.feature,RecordDistanceFinder,findDistance,[org.apache.commons:commons-lang3]
org.sifarish.common,ItemDynamicAttributeSimilarity,"",[org.apache.commons:commons-lang3]
org.sifarish.etl,UnitedStatesStandardFormat,stateFormat,[org.apache.commons:commons-lang3]
org.sifarish.realtime,UserItemRatings,addEvent,[com.google.guava:guava]
org.sifarish.etl,CountryStandardFormat,fuzyyMatchComponent,[org.apache.commons:commons-lang3]
org.sifarish.etl,UnitedStatesStandardFormat,caseFormat,[org.apache.commons:commons-lang3]
org.sifarish.etl,TextFieldTokenNormalizer,fuzzymatch,[org.apache.commons:commons-lang3]
org.sifarish.realtime,UserItemRatings,"",[com.google.guava:guava]
org.sifarish.social,PearsonCorrelator,"",[org.apache.commons:commons-lang3]
org.sifarish.etl,CountryStandardFormat,personNameFormat,[org.apache.commons:commons-lang3]
org.sifarish.feature,SameTypeSimilarity,"",[org.apache.commons:commons-lang3]
