packageName,className,methodName,apis
com.github.rnewson.couchdb.lucene,DatabaseIndexer,handleResponse,"[log4j:log4j,org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore,org.apache.lucene:lucene-core,org.json:json]"
com.github.rnewson.couchdb.lucene,DocumentConverterTest,"","[log4j:log4j,org.mozilla:rhino]"
com.github.rnewson.couchdb.lucene,QueryPlan,planFuzzyQuery,[org.apache.lucene:lucene-core]
com.github.rnewson.couchdb.lucene.couchdb,CouchDocument,asJson,[org.json:json]
com.github.rnewson.couchdb.lucene.couchdb,UpdateSequenceTest,bigcouch3Sequence,[junit:junit]
com.github.rnewson.couchdb.lucene.util,AnalyzersTest,testClassInstance8,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.hamcrest:hamcrest-all]"
com.github.rnewson.couchdb.lucene.util,Utils,text,[org.apache.lucene:lucene-core]
com.github.rnewson.couchdb.lucene,LuceneServlet,cleanup,"[commons-io:commons-io,log4j:log4j,org.json:json]"
com.github.rnewson.couchdb.lucene.couchdb,ViewTest,index,"[junit:junit,org.json:json]"
com.github.rnewson.couchdb.lucene,CustomQueryParserTest,assertRange,"[junit:junit,org.apache.lucene:lucene-core]"
com.github.rnewson.couchdb.lucene,DatabaseIndexer,info,"[org.apache.lucene:lucene-core,org.json:json]"
com.github.rnewson.couchdb.lucene.couchdb,Database,toDocuments,[org.json:json]
com.github.rnewson.couchdb.lucene,LuceneServlet,doPostInternal,[org.json:json]
com.github.rnewson.couchdb.lucene.couchdb,Couch,getAllDatabases,"[org.apache.httpcomponents:httpclient,org.json:json]"
com.github.rnewson.couchdb.lucene.couchdb,CouchDocument,getId,[org.json:json]
com.github.rnewson.couchdb.lucene.util,ErrorPreservingResponseHandler,"",[org.apache.httpcomponents:httpclient]
com.github.rnewson.couchdb.lucene.rhino,JSLog,debug,[log4j:log4j]
com.github.rnewson.couchdb.lucene.util,AnalyzersTest,testClassInstance5,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.json:json]"
com.github.rnewson.couchdb.lucene.couchdb,HttpUtils,post,"[org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore,org.json:json]"
com.github.rnewson.couchdb.lucene.couchdb,Database,getOrCreateUuid,[org.json:json]
com.github.rnewson.couchdb.lucene,TypedField,toRangeQuery,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
com.github.rnewson.couchdb.lucene,DocumentConverterTest,testJSONStringify,"[junit:junit,org.apache.lucene:lucene-core,org.mozilla:rhino]"
com.github.rnewson.couchdb.lucene,DocumentConverterTest,testParseInt,"[junit:junit,org.apache.lucene:lucene-core,org.mozilla:rhino]"
com.github.rnewson.couchdb.lucene,CustomQueryParserTest,longRangeQuery,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
com.github.rnewson.couchdb.lucene,TypedField,toTermQuery,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
com.github.rnewson.couchdb.lucene.util,Utils,directorySize,[org.apache.lucene:lucene-core]
com.github.rnewson.couchdb.lucene,Main,main,"[commons-configuration:commons-configuration,log4j:log4j,org.eclipse.jetty:jetty-server,org.eclipse.jetty:jetty-servlet]"
com.github.rnewson.couchdb.lucene,Config,getClient,"[commons-configuration:commons-configuration,org.apache.httpcomponents:httpclient]"
