packageName,className,methodName,apis
pitt.search.semanticvectors,FlagConfigTest,testParseFlagsFromString,[junit:junit]
pitt.search.semanticvectors,SearchBatch,runSearch,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
pitt.search.semanticvectors.vectors,RealVectorTest,testPermutedAddition,[junit:junit]
pitt.search.lucene,PorterAnalyzer,"",[org.apache.lucene:lucene-core]
pitt.search.semanticvectors,FlagConfigTest,testThrowsUnrecognizedValue,[junit:junit]
pitt.search.semanticvectors,LuceneUtils,getIDF,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.vectors,ComplexVectorTest,testGenerateRandomVector,[junit:junit]
pitt.search.semanticvectors.vectors,RealVectorTest,testDenseAddition,[junit:junit]
pitt.search.examples,NarrativeRelationsIndexer,main,[pitt.search:semanticvectors]
pitt.search.lucene,PorterAnalyzer,main,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors,VectorStoreDeterministicTest,setUp,[junit:junit]
pitt.search.semanticvectors,VectorStoreRAMTest,testRepeatReads,[junit:junit]
pitt.search.semanticvectors.vectors,Vector,readFromLuceneStream,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.vectors,PermutationVector,writeToLuceneStream,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors,CompareTermsTest,testCompareTermsComplexOrthographic,[junit:junit]
pitt.search.semanticvectors.integrationtests,LSATest,setUp,[junit:junit]
pitt.search.semanticvectors,VectorStoreWriterTest,testWriteLuceneVectorStoreAndRead,"[junit:junit,org.apache.lucene:lucene-core]"
pitt.search.lucene,LuceneIndexFromSemrepTriplesPL,main,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
pitt.search.semanticvectors,TermTermVectorsFromLucene,processEmbeddings,[pitt.search:semanticvectors]
pitt.search.semanticvectors.vectors,ComplexVectorTest,testSuperposeSparseOnZero,[junit:junit]
pitt.search.semanticvectors.integrationtests,RegressionTests,testBuildAndSearchBinaryPositionalIndex,[junit:junit]
pitt.search.lucene,IndexBilingualFiles,fileBilingualDocument,[org.apache.lucene:lucene-core]
pitt.search.lucene,PorterAnalyzer,stemQuery,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors,IncrementalTermVectors,createIncrementalTermVectorsFromLucene,[org.apache.lucene:lucene-core]
pitt.search.lucene,LuceneIndexFromSemrepTriples,main,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
pitt.search.examples,MarkedUpDocumentAnalyzer,getVectorForString,[pitt.search:semanticvectors]
pitt.search.semanticvectors.experiments,InNoutSubwordEmbeddings,initializeVectorStores,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.integrationtests,ESPTest,testBuildAndSearchBinaryESPIndex,[junit:junit]
pitt.search.semanticvectors.experiments,VectorStoreTruncater,main,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.integrationtests,RegressionTests,testBuildAndSearchRealDirectionalIndex,[junit:junit]
pitt.search.semanticvectors.vectors,BinaryVectorTest,testGenerateRandomVectorWriteAndRead,"[junit:junit,org.apache.lucene:lucene-core]"
pitt.search.examples,NarrativeRelationsIndexer,indexRelations,[pitt.search:semanticvectors]
pitt.search.semanticvectors.vectors,BinaryVector,readFromString,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors,VectorStoreReaderLuceneTest,"","[junit:junit,org.apache.lucene:lucene-core]"
pitt.search.semanticvectors.vectors,BinaryVector,copy,[org.apache.lucene:lucene-core]
pitt.search.semanticvectors.vectors,BinaryVectorTest,testDimensionMustMatchWhenReading,[junit:junit]
