packageName,className,methodName,apis
com.browseengine.bobo.api,BoboMultiReader,"",[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.filter,BitSetFilter,getRandomAccessDocIdSet,[org.apache.lucene:lucene-core]
com.browseengine.bobo.sort,SortCollector,"","[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.test,UnitTestSuite,suite,[junit:junit]
com.browseengine.bobo.facets.filter,BitSetFilter,getFacetSelectivity,[org.apache.lucene:lucene-core]
com.browseengine.bobo.query,ScoreAdjusterQuery,extractTerms,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,SectionSearchQueryPlanBuilder,translateBooleanQuery,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboTestCase,doTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.browseengine.bobo.test,FacetNotValuesTest,createIndex,[org.apache.lucene:lucene-core]
com.browseengine.bobo.util,BigShortArray,findValueRange,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.filter,RandomAccessFilter,getDocIdSet,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,SectionSearchQuery,rewrite,[org.apache.lucene:lucene-core]
com.browseengine.bobo.sort,SortCollectorImpl,setScorer,[org.apache.lucene:lucene-core]
com.browseengine.bobo.api,MultiBoboBrowser,getFieldVal,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboTestCase,buildFieldConf,[org.apache.lucene:lucene-core]
com.browseengine.bobo.util.test,MutableSparseFloatArrayTest,testSpeed,[junit:junit]
com.browseengine.bobo.search.section,SectionSearchQueryPlan,fetch,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboFacetIteratorTest,testDefaultFaccetIterator,[junit:junit]
com.browseengine.bobo.test,FacetHandlerTest,testNegativeLoadTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.browseengine.bobo.api,BoboSubBrowser,browse,"[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.query.scoring,FacetTermQuery,extractTerms,[org.apache.lucene:lucene-core]
com.browseengine.bobo.impl,QueryProducer,convert,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
com.browseengine.bobo.query,ScoreAdjusterQuery,rewrite,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,SectionSearchQuery,"",[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,FacetHandlerTest,"","[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.browseengine.bobo.test,FacetNameTest,testFacetNameForSimpleFacetHandler,"[junit:junit,org.apache.lucene:lucene-core]"
com.browseengine.bobo.docidset,OrDocIdSet,iterator,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.range,ValueConverterBitSetBuilder,bitSet,[org.apache.lucene:lucene-core]
com.browseengine.bobo.sort,LuceneCustomDocComparatorSource,"",[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboTestCase,testDate,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,IntMetaDataQuery,createWeight,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,TestPathMultiVal,setUp,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.browseengine.bobo.facets.filter,OrFilter,getDocIdSet,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,MetaDataQuery,getPlan,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,SectionSearchQueryPlanBuilder,translateTermQuery,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,FacetNotValuesTest,"","[junit:junit,log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.docidset,NotDocIdSet,findWithIndex,[org.apache.lucene:lucene-core]
com.browseengine.bobo.query,MatchAllDocIdSetIterator,"",[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboTestCase,testSort,[org.apache.lucene:lucene-core]
com.browseengine.bobo.util.test,BigSegmentedArrayTest,"",[junit:junit]
com.browseengine.bobo.facets.filter,AdaptiveFacetFilter,getRandomAccessDocIdSet,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.data,TermCharList,seal,[it.unimi.dsi:fastutil]
com.browseengine.bobo.search,BoboSearcher,"",[org.apache.lucene:lucene-core]
com.browseengine.bobo.sort,SortCollectorImpl,acceptsDocsOutOfOrder,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboTestCase,testFacetSort,[junit:junit]
com.browseengine.bobo.facets.impl,GeoSimpleFacetHandler,"",[org.apache.lucene:lucene-core]
com.browseengine.bobo.api,BoboMultiReader,doWrapDirectoryReader,[org.apache.lucene:lucene-core]
com.browseengine.bobo.api,MultiBoboBrowser,getRawFieldVal,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.attribute,AttributesFacetHandlerTest,doc,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.data,MultiValueFacetDataCache,load,"[it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
com.browseengine.bobo.facets.impl,SimpleGroupbyFacetHandler,getFacetCountCollectorSource,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,IntMetaDataQuery,getPlan,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,TermNode,fetchPos,[org.apache.lucene:lucene-core]
com.browseengine.bobo.sort,DocIDPriorityQueue,sortValue,[org.apache.lucene:lucene-core]
com.browseengine.bobo.api,BrowseRequest,getFilter,[org.apache.lucene:lucene-core]
com.browseengine.bobo.api,MultiBoboBrowser,doClose,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,AndNotNode,fetchSec,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,SectionSearchQuery,toString,[org.apache.lucene:lucene-core]
com.browseengine.bobo.util,MemoryManager,"",[log4j:log4j]
com.browseengine.bobo.docidset,AndDocIdSet,find,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.data,TermFixedLengthLongArrayList,add,[it.unimi.dsi:fastutil]
com.browseengine.bobo.search.section,SectionSearchQueryPlanBuilder,translate,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.impl,MultiValueFacetHandler,load,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,MetaDataCacheProvider,get,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboTestCase,createIndex,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.data,TermDoubleList,buildPrimitiveList,[it.unimi.dsi:fastutil]
com.browseengine.bobo.facets.filter,GeoSimpleFacetFilter,"",[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboTestCase,buildMetaSizePayloadField,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboTestCase,testChar,[org.apache.lucene:lucene-core]
com.browseengine.bobo.util,BigByteArray,findValueRange,[org.apache.lucene:lucene-core]
com.browseengine.bobo.sort,DocIDPriorityQueue,replace,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboTestCase,testRawDataRetrieval,"[junit:junit,org.apache.lucene:lucene-core]"
com.browseengine.bobo.service,BoboService,start,[org.apache.lucene:lucene-core]
com.browseengine.bobo.docidset,OrDocIdSetIterator,nextDoc,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.data,FacetDataCache,convert,[it.unimi.dsi:fastutil]
com.browseengine.bobo.facets.filter,NotFilter,getDocIdSet,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboTestCase,testCustomSort,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboTestCase,buildData,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.data,TermDoubleList,indexOf,[it.unimi.dsi:fastutil]
com.browseengine.bobo.facets.filter,FacetFilter,getFacetSelectivity,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.impl,PathFacetHandler,"",[it.unimi.dsi:fastutil]
com.browseengine.bobo.index,BoboIndexer,"",[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboTestCase,testBrowseMultiValWithWeight,[org.apache.lucene:lucene-core]
com.browseengine.bobo.impl,BrowseServiceImpl,close,[org.apache.lucene:lucene-core]
com.browseengine.bobo.service,BoboService,browse,"[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.api,MultiBoboBrowser,setSimilarity,[org.apache.lucene:lucene-core]
com.browseengine.bobo.test,BoboTestCase,testStoredField,"[junit:junit,org.apache.lucene:lucene-core]"
com.browseengine.bobo.facets.data,MultiValueWithWeightFacetDataCache,load,"[it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
com.browseengine.bobo.impl,QueryProducer,buildQuery,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
com.browseengine.bobo.service,BrowseServiceFactory,"",[log4j:log4j]
com.browseengine.bobo.sort,SortCollectorImpl,topDocs,[org.apache.lucene:lucene-core]
com.browseengine.bobo.api,BoboSegmentReader,"","[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.facets.data,TermFloatList,buildPrimitiveList,[it.unimi.dsi:fastutil]
