packageName,className,methodName,apis
com.vmware.xenon,TestServiceDocumentDescription,testRoutes,[junit:junit]
com.vmware.xenon.common,TestDeferredResult,testAnyOf,[junit:junit]
com.vmware.xenon.common,TestOperationSequence,testAbortOnFirstFailure,[junit:junit]
com.vmware.xenon.common,TestSubscriptions,subscriptionsToFactoryAndChildren,[junit:junit]
com.vmware.xenon.common.http.netty,NettyHttp2Test,throughputPutRemote,[junit:junit]
com.vmware.xenon.common.jwt,TestVerifier,testRfc7515A1,[junit:junit]
com.vmware.xenon.services.common,NodeGroupService,"",[com.esotericsoftware:kryo-shaded]
com.vmware.xenon.services.common,TestSimpleTransactionService,testSingleClientMultiDocumentConcurrentTransactions,[junit:junit]
com.vmware.xenon.services.samples,IdGeneratorService,"",[com.vmware.xenon:xenon-common]
com.vmware.xenon.services.samples,SampleContinuousQueryWatchService,subscribeToContinuousQuery,[com.vmware.xenon:xenon-common]
com.vmware.xenon.common,TestOperation,testXenonErrorCode,[junit:junit]
com.vmware.xenon.common,TestRoundRobinOperationQueue,testLimitDifferentKeys,[junit:junit]
com.vmware.xenon.common,TestUriUtils,getParentPath,[junit:junit]
com.vmware.xenon.common.http.netty,NettyHttpListener,setSSLContext,[io.netty:netty-all]
com.vmware.xenon.common.http.netty,NettyHttpServiceClientTest,validateOperationChecks,[junit:junit]
com.vmware.xenon.common.http.netty,NettyHttpToHttp2HandlerBuilder,headerSensitivityDetector,[io.netty:netty-all]
com.vmware.xenon.services.common,TestLuceneDocumentIndexService,doDurableServiceUpdate,[junit:junit]
com.vmware.xenon.services.common,TestMigrationTaskService,successMigrateDocumentsWithAllVersions,[junit:junit]
com.vmware.xenon.services.common,TestNodeGroupMigrationTaskService,requestWithFactoryLink,[junit:junit]
com.vmware.xenon.services.common,TestNodeGroupService,commandLineJoinRetries,[junit:junit]
com.vmware.xenon.services.common,TestQueryFilter,simpleDisjunction,[junit:junit]
com.vmware.xenon.services.common,TestServiceHostManagementService,testRequestLoggingEnabled,[junit:junit]
com.vmware.xenon.services.common,TestSimpleTransactionService,testHostRestartMidTransaction,[junit:junit]
com.vmware.xenon.common,TestAuthentication,tearDown,[junit:junit]
com.vmware.xenon.common,TestServiceHost,serviceStopOrder,[junit:junit]
com.vmware.xenon.services.common,LuceneDocumentIndexService,queryIndexForVersion,[org.apache.lucene:lucene-core]
com.vmware.xenon.services.common,TestMigrationTaskService,validateVersionedExampleDocuments,[junit:junit]
com.vmware.xenon.services.common,TestODataQueryService,top,[junit:junit]
com.vmware.xenon.services.common,TestQueryTaskService,doAllDocsTest,[junit:junit]
com.vmware.xenon.services.common,TestResourceGroupService,postHelper,[junit:junit]
com.vmware.xenon.services.common,TestResourceGroupService,setUp,[junit:junit]
com.vmware.xenon.services.samples,BankAccountService,getOperationProcessingChain,[com.vmware.xenon:xenon-common]
com.vmware.xenon.common,TestEventStreams,doSimpleTest,[junit:junit]
com.vmware.xenon.common,TestFactoryService,getResult,[junit:junit]
com.vmware.xenon.common,TestOdataFilter,testBooleanWithNumericRanges,[junit:junit]
com.vmware.xenon.common,TestSendWithDeferredResult,testRethrow,[junit:junit]
com.vmware.xenon.common,TestServiceDocument,testEnumValuesArePopulated,[junit:junit]
com.vmware.xenon.common.test,ContainerVerificationHost,stopAndRemoveContainer,[com.github.docker-java:docker-java]
com.vmware.xenon.services.common,LuceneDocumentIndexService,"",[org.apache.lucene:lucene-core]
com.vmware.xenon.services.common,TestLuceneDocumentIndexService,tearDown,[junit:junit]
