packageName,api,mcrCategories,mcrTags,count,countAll,proportion
org.dependencytrack.integrations.defectdojo,com.konghq:unirest-java,"","",30,73,0.41
org.dependencytrack.integrations.defectdojo,org.mock-server:mockserver-netty,Mocking,"network,mock,socket,server,mocking,testing,netty",4,73,0.05
org.dependencytrack.integrations.defectdojo,us.springett:alpine,"","",36,73,0.49
org.dependencytrack.integrations.defectdojo,org.json:json,JSON Libraries,json,3,73,0.04
org.dependencytrack.resources.v1.serializers,com.github.package-url:packageurl-java,"","github,url",5,5,1.0
org.dependencytrack.policy,us.springett:alpine,"","",98,115,0.85
org.dependencytrack.policy,org.json:json,JSON Libraries,json,8,115,0.07
org.dependencytrack.policy,com.github.package-url:packageurl-java,"","github,url",9,115,0.08
org.dependencytrack.util,org.apache.commons:commons-compress,Compression Libraries,"compression,apache,commons",11,149,0.07
org.dependencytrack.util,com.github.package-url:packageurl-java,"","github,url",52,149,0.35
org.dependencytrack.util,org.mockito:mockito-core,Mocking,"mock,mocking,testing",7,149,0.05
org.dependencytrack.util,org.cyclonedx:cyclonedx-core-java,"","",19,149,0.13
org.dependencytrack.util,us.springett:alpine,"","",60,149,0.4
org.dependencytrack.parser.npm,us.springett:alpine,"","",10,106,0.09
org.dependencytrack.parser.npm,com.konghq:unirest-java,"","",96,106,0.91
org.dependencytrack.parser.github.graphql,com.konghq:unirest-java,"","",133,133,1.0
org.dependencytrack.resources.v1,org.cyclonedx:cyclonedx-core-java,"","",76,2511,0.03
org.dependencytrack.resources.v1,us.springett:cvss-calculator,"","",38,2511,0.02
org.dependencytrack.resources.v1,org.json:json,JSON Libraries,json,1,2511,0.0
org.dependencytrack.resources.v1,com.github.package-url:packageurl-java,"","github,url",14,2511,0.01
org.dependencytrack.resources.v1,us.springett:alpine,"","",2382,2511,0.95
org.dependencytrack.notification.publisher,com.konghq:unirest-java,"","",21,313,0.07
org.dependencytrack.notification.publisher,io.pebbletemplates:pebble,"",io,45,313,0.14
org.dependencytrack.notification.publisher,us.springett:alpine,"","",235,313,0.75
org.dependencytrack.notification.publisher,org.mock-server:mockserver-netty,Mocking,"network,mock,socket,server,mocking,testing,netty",12,313,0.04
org.dependencytrack.upgrade.v410,us.springett:alpine,"","",12,12,1.0
org.dependencytrack.integration,com.konghq:unirest-java,"","",50,50,1.0
org.dependencytrack.notification,us.springett:alpine,"","",171,171,1.0
org.dependencytrack.event,us.springett:alpine,"","",117,117,1.0
org.dependencytrack.integrations,org.json:json,JSON Libraries,json,61,140,0.44
org.dependencytrack.integrations,us.springett:alpine,"","",54,140,0.39
org.dependencytrack.integrations,org.mockito:mockito-core,Mocking,"mock,mocking,testing",25,140,0.18
org.dependencytrack.parser.nvd,us.springett:cpe-parser,"",parser,42,69,0.61
