packageName,api,mcrCategories,mcrTags,count,countAll,proportion
org.apache.cassandra.service,org.apache.cassandra:cassandra-all,Hadoop Databases,"database,nosql,cassandra,hadoop,apache",188,188,1.0
com.stratio.cassandra.lucene.testsAT.partitioning,junit:junit,Testing Frameworks,"testing,junit",11,23,0.48
com.stratio.cassandra.lucene.testsAT.partitioning,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",12,23,0.52
com.stratio.cassandra.lucene.testsAT.indexes,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",22,56,0.39
com.stratio.cassandra.lucene.testsAT.indexes,junit:junit,Testing Frameworks,"testing,junit",34,56,0.61
com.stratio.cassandra.lucene.search,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",35,133,0.26
com.stratio.cassandra.lucene.search,junit:junit,Testing Frameworks,"testing,junit",98,133,0.74
com.stratio.cassandra.lucene.schema.analysis,com.github.rholder:snowball-stemmer,"",github,7,542,0.01
com.stratio.cassandra.lucene.schema.analysis,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",144,542,0.27
com.stratio.cassandra.lucene.schema.analysis,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",233,542,0.43
com.stratio.cassandra.lucene.schema.analysis,junit:junit,Testing Frameworks,"testing,junit",158,542,0.29
com.stratio.cassandra.lucene.index,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.stratio.cassandra.lucene.testsAT.util,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",138,328,0.42
com.stratio.cassandra.lucene.testsAT.util,com.datastax.cassandra:cassandra-driver-core,Cassandra Clients,"database,cassandra,driver,client",182,328,0.55
com.stratio.cassandra.lucene.testsAT.util,junit:junit,Testing Frameworks,"testing,junit",8,328,0.02
com.stratio.cassandra.lucene.common,com.fasterxml.jackson.core:jackson-core,JSON Libraries,json,6,172,0.03
com.stratio.cassandra.lucene.common,com.fasterxml.jackson.core:jackson-databind,JSON Libraries,"binding,json",23,172,0.13
com.stratio.cassandra.lucene.common,com.vividsolutions:jts-core,"","",53,172,0.31
com.stratio.cassandra.lucene.common,junit:junit,Testing Frameworks,"testing,junit",82,172,0.48
com.stratio.cassandra.lucene.common,org.apache.cassandra:cassandra-all,Hadoop Databases,"database,nosql,cassandra,hadoop,apache",4,172,0.02
com.stratio.cassandra.lucene.common,org.apache.lucene:lucene-spatial,"","lucene,spatial,apache,index",4,172,0.02
com.stratio.cassandra.lucene.search.sort.builder,junit:junit,Testing Frameworks,"testing,junit",40,40,1.0
com.stratio.cassandra.lucene.testsAT.type_validation,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",88,108,0.81
com.stratio.cassandra.lucene.testsAT.type_validation,junit:junit,Testing Frameworks,"testing,junit",18,108,0.17
com.stratio.cassandra.lucene.testsAT.type_validation,com.datastax.cassandra:cassandra-driver-core,Cassandra Clients,"database,cassandra,driver,client",2,108,0.02
com.stratio.cassandra.lucene.testsAT.deletion,com.datastax.cassandra:cassandra-driver-core,Cassandra Clients,"database,cassandra,driver,client",130,214,0.61
com.stratio.cassandra.lucene.testsAT.deletion,junit:junit,Testing Frameworks,"testing,junit",66,214,0.31
com.stratio.cassandra.lucene.testsAT.deletion,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",18,214,0.08
com.stratio.cassandra.lucene.testsAT,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
com.stratio.cassandra.lucene.testsAT.geospatial,junit:junit,Testing Frameworks,"testing,junit",122,711,0.17
com.stratio.cassandra.lucene.testsAT.geospatial,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",589,711,0.83
com.stratio.cassandra.lucene.builder,com.fasterxml.jackson.core:jackson-core,JSON Libraries,json,6,234,0.03
com.stratio.cassandra.lucene.builder,com.fasterxml.jackson.core:jackson-databind,JSON Libraries,"binding,json",22,234,0.09
com.stratio.cassandra.lucene.builder,junit:junit,Testing Frameworks,"testing,junit",206,234,0.88
