packageName,api,mcrCategories,mcrTags,count,countAll,proportion
net.semanticmetadata.lire.imageanalysis.features,junit:junit,Testing Frameworks,"testing,junit",13,13,1.0
net.semanticmetadata.lire.impl,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",241,265,0.91
net.semanticmetadata.lire.impl,com.sangupta:jopensurf,"","",23,265,0.09
net.semanticmetadata.lire.impl,junit:junit,Testing Frameworks,"testing,junit",1,265,0.0
net.semanticmetadata.lire.filter,junit:junit,Testing Frameworks,"testing,junit",1,31,0.03
net.semanticmetadata.lire.filter,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",30,31,0.97
net.semanticmetadata.lire.indexers.hashing,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",22,26,0.85
net.semanticmetadata.lire.indexers.hashing,junit:junit,Testing Frameworks,"testing,junit",2,26,0.08
net.semanticmetadata.lire.indexers.hashing,commons-io:commons-io,I/O Utilities,io,2,26,0.08
net.semanticmetadata.lire.imageanalysis.bovw,org.apache.commons:commons-math3,Math Libraries,"math,apache,commons",30,496,0.06
net.semanticmetadata.lire.imageanalysis.bovw,junit:junit,Testing Frameworks,"testing,junit",1,496,0.0
net.semanticmetadata.lire.imageanalysis.bovw,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",465,496,0.94
net.semanticmetadata.lire.builders,junit:junit,Testing Frameworks,"testing,junit",1,283,0.0
net.semanticmetadata.lire.builders,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",282,283,1.0
net.semanticmetadata.lire.searchers.forevaluations,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",187,187,1.0
net.semanticmetadata.lire.imageanalysis,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",55,105,0.52
net.semanticmetadata.lire.imageanalysis,junit:junit,Testing Frameworks,"testing,junit",36,105,0.34
net.semanticmetadata.lire.imageanalysis,com.sangupta:jopensurf,"","",14,105,0.13
net.semanticmetadata.lire.classifiers,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",387,389,0.99
net.semanticmetadata.lire.classifiers,junit:junit,Testing Frameworks,"testing,junit",2,389,0.01
net.semanticmetadata.lire.indexers.parallel,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",81,81,1.0
net.semanticmetadata.lire.indexers.tools.text,commons-io:commons-io,I/O Utilities,io,15,45,0.33
net.semanticmetadata.lire.indexers.tools.text,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",26,45,0.58
net.semanticmetadata.lire.indexers.tools.text,commons-codec:commons-codec,Base64 Libraries,"codec,base64,encoding",4,45,0.09
net.semanticmetadata.lire.indexers,junit:junit,Testing Frameworks,"testing,junit",2,31,0.06
net.semanticmetadata.lire.indexers,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",29,31,0.94
net.semanticmetadata.lire.lucene,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",5,85,0.06
net.semanticmetadata.lire.lucene,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",76,85,0.89
net.semanticmetadata.lire.lucene,junit:junit,Testing Frameworks,"testing,junit",2,85,0.02
