packageName,api,mcrCategories,mcrTags,count,countAll,proportion
org.aksw.palmetto.prob.window,com.carrotsearch:hppc,Collections,"collections,structures",77,77,1.0
org.aksw.palmetto.corpus.lucene.creation,com.carrotsearch:hppc,Collections,"collections,structures",37,224,0.17
org.aksw.palmetto.corpus.lucene.creation,junit:junit,Testing Frameworks,"testing,junit",18,224,0.08
org.aksw.palmetto.corpus.lucene.creation,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",136,224,0.61
org.aksw.palmetto.corpus.lucene.creation,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",31,224,0.14
org.aksw.palmetto.corpus.lucene.creation,commons-io:commons-io,I/O Utilities,io,2,224,0.01
org.aksw.palmetto.calculations.direct,junit:junit,Testing Frameworks,"testing,junit",42,42,1.0
org.aksw.palmetto.weight,junit:junit,Testing Frameworks,"testing,junit",24,24,1.0
org.aksw.palmetto.sum,junit:junit,Testing Frameworks,"testing,junit",24,24,1.0
org.aksw.palmetto.io,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",15,23,0.65
org.aksw.palmetto.io,com.carrotsearch:hppc,Collections,"collections,structures",6,23,0.26
org.aksw.palmetto.io,commons-io:commons-io,I/O Utilities,io,2,23,0.09
org.aksw.palmetto.prob.decorator,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",5,34,0.15
org.aksw.palmetto.prob.decorator,com.carrotsearch:hppc,Collections,"collections,structures",9,34,0.26
org.aksw.palmetto.prob.decorator,com.google.guava:guava,Core Utilities,google,10,34,0.29
org.aksw.palmetto.prob.decorator,junit:junit,Testing Frameworks,"testing,junit",10,34,0.29
org.aksw.palmetto.calculations.indirect,junit:junit,Testing Frameworks,"testing,junit",33,59,0.56
org.aksw.palmetto.calculations.indirect,com.carrotsearch:hppc,Collections,"collections,structures",26,59,0.44
org.aksw.palmetto.corpus,com.carrotsearch:hppc,Collections,"collections,structures",9,9,1.0
org.aksw.palmetto.webapp.config,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",19,36,0.53
org.aksw.palmetto.webapp.config,commons-configuration:commons-configuration,Configuration Libraries,config,17,36,0.47
org.aksw.palmetto.evaluate.correlation,junit:junit,Testing Frameworks,"testing,junit",18,18,1.0
org.aksw.palmetto.corpus.lucene,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",147,260,0.57
org.aksw.palmetto.corpus.lucene,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",18,260,0.07
org.aksw.palmetto.corpus.lucene,com.carrotsearch:hppc,Collections,"collections,structures",66,260,0.25
org.aksw.palmetto.corpus.lucene,junit:junit,Testing Frameworks,"testing,junit",13,260,0.05
org.aksw.palmetto.corpus.lucene,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",16,260,0.06
org.aksw.palmetto.prob,junit:junit,Testing Frameworks,"testing,junit",30,140,0.21
org.aksw.palmetto.prob,com.carrotsearch:hppc,Collections,"collections,structures",110,140,0.79
org.aksw.palmetto.webapp,org.springframework:spring-test,Testing Frameworks,"spring,testing",2,78,0.03
org.aksw.palmetto.webapp,commons-io:commons-io,I/O Utilities,io,3,78,0.04
org.aksw.palmetto.webapp,commons-configuration:commons-configuration,Configuration Libraries,config,1,78,0.01
org.aksw.palmetto.webapp,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",19,78,0.24
org.aksw.palmetto.webapp,junit:junit,Testing Frameworks,"testing,junit",39,78,0.5
org.aksw.palmetto.webapp,com.carrotsearch:hppc,Collections,"collections,structures",14,78,0.18
org.aksw.palmetto,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",11,20,0.55
org.aksw.palmetto,com.carrotsearch:hppc,Collections,"collections,structures",9,20,0.45
org.aksw.palmetto.subsets,junit:junit,Testing Frameworks,"testing,junit",24,146,0.16
org.aksw.palmetto.subsets,com.carrotsearch:hppc,Collections,"collections,structures",122,146,0.84
org.aksw.palmetto.prob.bd,junit:junit,Testing Frameworks,"testing,junit",18,124,0.15
org.aksw.palmetto.prob.bd,com.carrotsearch:hppc,Collections,"collections,structures",106,124,0.85
org.aksw.palmetto.vector,junit:junit,Testing Frameworks,"testing,junit",42,42,1.0
org.aksw.palmetto.aggregation,com.carrotsearch:hppc,Collections,"collections,structures",8,8,1.0
org.aksw.palmetto.data,com.carrotsearch:hppc,Collections,"collections,structures",17,17,1.0
