packageName,api,mcrCategories,mcrTags,count,countAll,proportion
com.intuit.fuzzymatcher.util,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",11,17,0.65
com.intuit.fuzzymatcher.util,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,17,0.35
com.intuit.fuzzymatcher.component,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j",15,260,0.06
com.intuit.fuzzymatcher.component,org.mockito:mockito-all,Mocking,"mock,mocking,testing",11,260,0.04
com.intuit.fuzzymatcher.component,junit:junit,Testing Frameworks,"testing,junit",201,260,0.77
com.intuit.fuzzymatcher.component,com.opencsv:opencsv,CSV Libraries,"csv,tabular",24,260,0.09
com.intuit.fuzzymatcher.component,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",7,260,0.03
com.intuit.fuzzymatcher.component,org.apache.commons:commons-collections4,Collections,"structures,collections,apache,commons",2,260,0.01
com.intuit.fuzzymatcher.domain,org.apache.commons:commons-collections4,Collections,"structures,collections,apache,commons",4,72,0.06
com.intuit.fuzzymatcher.domain,junit:junit,Testing Frameworks,"testing,junit",62,72,0.86
com.intuit.fuzzymatcher.domain,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",6,72,0.08
com.intuit.fuzzymatcher.function,commons-codec:commons-codec,Base64 Libraries,"codec,base64,encoding",4,122,0.03
com.intuit.fuzzymatcher.function,org.apache.commons:commons-lang3,Core Utilities,"apache,commons",6,122,0.05
com.intuit.fuzzymatcher.function,org.mockito:mockito-all,Mocking,"mock,mocking,testing",9,122,0.07
com.intuit.fuzzymatcher.function,junit:junit,Testing Frameworks,"testing,junit",103,122,0.84
