packageName,api,mcrCategories,mcrTags,count,countAll,proportion
cc.twittertools.corpus.demo,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",35,42,0.83
cc.twittertools.corpus.demo,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",7,42,0.17
edu.illinois.lis.query,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",9,76,0.12
edu.illinois.lis.query,com.google.guava:guava,Core Utilities,google,20,76,0.26
edu.illinois.lis.query,com.google.code.gson:gson,JSON Libraries,"google,json",47,76,0.62
edu.illinois.lis.document,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",20,44,0.45
edu.illinois.lis.document,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",24,44,0.55
cc.twittertools.search.api,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",25,647,0.04
cc.twittertools.search.api,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",477,647,0.74
cc.twittertools.search.api,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",32,647,0.05
cc.twittertools.search.api,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",4,647,0.01
cc.twittertools.search.api,com.google.guava:guava,Core Utilities,google,32,647,0.05
cc.twittertools.search.api,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",77,647,0.12
edu.gslis.ttg.searchers,cc.twittertools:twitter-tools-core,"","tools,twitter",24,24,1.0
edu.illinois.lis.feedback,cc.twittertools:twitter-tools-core,"","tools,twitter",19,19,1.0
edu.gslis.ttg.main,com.googlecode.json-simple:json-simple,JSON Libraries,json,21,42,0.5
edu.gslis.ttg.main,cc.twittertools:twitter-tools-core,"","tools,twitter",20,42,0.48
edu.gslis.ttg.main,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",1,42,0.02
edu.illinois.lis.utils,commons-io:commons-io,I/O Utilities,io,4,67,0.06
edu.illinois.lis.utils,com.google.code.gson:gson,JSON Libraries,"google,json",63,67,0.94
edu.gslis.ttg.clusters.clusterers,cc.twittertools:twitter-tools-core,"","tools,twitter",23,23,1.0
cc.twittertools.piggybank,org.apache.pig:pig,Hadoop Query Engines,"apache,hadoop,query,bigdata",44,44,1.0
cc.twittertools.index,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",167,470,0.36
cc.twittertools.index,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",251,470,0.53
cc.twittertools.index,com.twitter:twitter-text,"","twitter,text",3,470,0.01
cc.twittertools.index,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",25,470,0.05
cc.twittertools.index,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",2,470,0.0
cc.twittertools.index,junit:junit,Testing Frameworks,"testing,junit",5,470,0.01
cc.twittertools.index,it.unimi.dsi:fastutil,Collections,"collections,structures",12,470,0.03
cc.twittertools.index,com.google.guava:guava,Core Utilities,google,4,470,0.01
cc.twittertools.index,org.apache.ant:ant,Build Tools,"apache,ant,build,tools",1,470,0.0
cc.twittertools.stream,org.twitter4j:twitter4j-core,Social Network Clients,"social,twitter",1,108,0.01
cc.twittertools.stream,org.twitter4j:twitter4j-stream,Social Network Clients,"streaming,social,twitter",10,108,0.09
cc.twittertools.stream,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",97,108,0.9
edu.illinois.lis.searchsource,cc.twittertools:twitter-tools-core,"","tools,twitter",18,18,1.0
