packageName,api,mcrCategories,mcrTags,count,countAll,proportion
com.vmware.xenon.workshop,com.vmware.xenon:xenon-common,"","",550,550,1.0
com.vmware.workshop.labs,junit:junit,Testing Frameworks,"testing,junit",6,47,0.13
com.vmware.workshop.labs,com.vmware.xenon:xenon-common,"","",41,47,0.87
com.vmware.xenonlabs,com.vmware.xenon:xenon-common,"","",728,784,0.93
com.vmware.xenonlabs,junit:junit,Testing Frameworks,"testing,junit",56,784,0.07
com.vmware.xenon.samples,com.vmware.xenon:xenon-ui,"",ui,1,20,0.05
com.vmware.xenon.samples,com.vmware.xenon:xenon-common,"","",19,20,0.95
com.vmware.xenon,org.openjdk.jmh:jmh-core,Microbenchmarks,"performance,benchmark",34,137,0.25
com.vmware.xenon,com.esotericsoftware:kryo-shaded,"","",2,137,0.01
com.vmware.xenon,com.vmware.xenon:xenon-common,"","",87,137,0.64
com.vmware.xenon,junit:junit,Testing Frameworks,"testing,junit",14,137,0.1
com.vmware.xenon.common.config,junit:junit,Testing Frameworks,"testing,junit",64,64,1.0
com.vmware.xenon.common.opentracing,io.opentracing:opentracing-mock,"","io,tracing,mock",174,366,0.48
com.vmware.xenon.common.opentracing,io.opentracing:opentracing-noop,"","io,tracing",6,366,0.02
com.vmware.xenon.common.opentracing,io.zipkin.reporter2:zipkin-sender-okhttp3,"","reporter,io,tracing,http",1,366,0.0
com.vmware.xenon.common.opentracing,com.uber.jaeger:jaeger-core,Distributed Tracing,"distributed,tracing",6,366,0.02
com.vmware.xenon.common.opentracing,com.google.code.findbugs:annotations,Defect Detection Metadata,"defect,google,annotations,analysis,metadata",1,366,0.0
com.vmware.xenon.common.opentracing,junit:junit,Testing Frameworks,"testing,junit",60,366,0.16
com.vmware.xenon.common.opentracing,io.opentracing:opentracing-api,Distributed Tracing,"io,tracing,api,distributed",114,366,0.31
com.vmware.xenon.common.opentracing,io.zipkin.reporter2:zipkin-sender-urlconnection,"","url,reporter,io,connection,tracing",1,366,0.0
com.vmware.xenon.common.opentracing,io.opentracing:opentracing-util,"","io,tracing",1,366,0.0
com.vmware.xenon.common.opentracing,io.opentracing.brave:brave-opentracing,Distributed Tracing,"io,tracing,distributed",2,366,0.01
com.vmware.xenon.common.jwt,junit:junit,Testing Frameworks,"testing,junit",24,87,0.28
com.vmware.xenon.common.jwt,com.google.code.gson:gson,JSON Libraries,"google,json",63,87,0.72
com.vmware.xenon.common,com.esotericsoftware:kryo-shaded,"","",66,2621,0.03
com.vmware.xenon.common,com.google.code.gson:gson,JSON Libraries,"google,json",96,2621,0.04
com.vmware.xenon.common,com.vmware.xenon:xenon-common,"","",195,2621,0.07
