packageName,apis
org.ansj.dic.impl,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.lucene7,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core,org.nlpcn:nlp-lang]"
org.ansj.lucene.util,"[org.ansj:ansj_seg,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.nlpcn:nlp-lang]"
org.ansj,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.test,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.recognition.arrimpl,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.lucene5,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core,org.nlpcn:nlp-lang]"
org.ansj.lucene6,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core,org.nlpcn:nlp-lang]"
org.ansj.domain,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.splitWord.impl,[org.nlpcn:nlp-lang]
org.ansj.app.extracting.domain,[org.nlpcn:nlp-lang]
org.ansj.app.keyword,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.ansj_lucene5_plug,"[junit:junit,org.ansj:ansj_seg,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
org.ansj.lucene3,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core]"
org.ansj.library,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.splitWord.analysis,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.util,[org.nlpcn:nlp-lang]
org.ansj.ansj_lucene4_plug,"[junit:junit,org.ansj:ansj_seg,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
org.ansj.app.summary,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.splitWord,[org.nlpcn:nlp-lang]
org.ansj.ansj_lucene_plug,"[junit:junit,org.ansj:ansj_seg,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
org.ansj.solr,"[org.ansj:ansj_lucene4_plug,org.ansj:ansj_seg,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
org.ansj.recognition.impl,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.app.extracting,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.lucene4,"[org.ansj:ansj_seg,org.apache.lucene:lucene-core]"
org.ansj.dic,[org.nlpcn:nlp-lang]
org.ansj.app.crf,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.app.crf.model,"[junit:junit,org.nlpcn:nlp-lang]"
org.ansj.app.phrase,[org.nlpcn:nlp-lang]
org.ansj.demo,[org.nlpcn:nlp-lang]
