packageName,apis
net.semanticmetadata.lire.imageanalysis.features,[junit:junit]
net.semanticmetadata.lire.impl,"[com.sangupta:jopensurf,junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.filter,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexers.hashing,"[commons-io:commons-io,junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis.bovw,"[junit:junit,org.apache.commons:commons-math3,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.builders,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.searchers.forevaluations,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis,"[com.sangupta:jopensurf,junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.classifiers,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexers.parallel,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.indexers.tools.text,"[commons-codec:commons-codec,commons-io:commons-io,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexers,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.lucene,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
net.semanticmetadata.lire.indexing,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.sampleapp,"[commons-io:commons-io,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis.filters,[junit:junit]
liredemo.flickr,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.utils,"[commons-io:commons-io,junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.indexers.tools.binary,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.features.local.sift,[org.apache.commons:commons-math3]
edu.uniklu.itec.mosaix,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.filters,"[org.apache.commons:commons-math3,org.apache.lucene:lucene-core]"
samples,[org.apache.lucene:lucene-core]
liredemo,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.imageanalysis.features.local.shapecontext,[org.apache.commons:commons-math3]
edu.uniklu.itec.mosaix.engine,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.benchmarking,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.benchmarking.custom,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis.sift,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis.features.local.surf,[com.sangupta:jopensurf]
liredemo.indexing,[org.apache.lucene:lucene-core]
net.semanticmetadata.lire.applications,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.imageanalysis.features.local.opencvfeatures,[nu.pattern:opencv]
net.semanticmetadata.lire.indexing.fastmap,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.invertedlist,"[junit:junit,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.searchers,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
net.semanticmetadata.lire,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
net.semanticmetadata.lire.searchers.custom,[org.apache.lucene:lucene-core]
