packageName,apis
org.imixs.workflow.util,"[jakarta.platform:jakarta.jakartaee-api,junit:junit]"
org.imixs.workflow.faces.fileupload,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.jaxrs,"[jakarta.platform:jakarta.jakartaee-api,junit:junit,org.apache.xmlgraphics:fop,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.faces.util,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.adminp,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine,"[jakarta.platform:jakarta.jakartaee-api,junit:junit,org.eclipse.microprofile.metrics:microprofile-metrics-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine,org.mockito:mockito-all]"
org.imixs.workflow.engine.solr,"[jakarta.platform:jakarta.jakartaee-api,junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.index,"[jakarta.platform:jakarta.jakartaee-api,junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.plugins,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.engine.scheduler,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.xml,"[jakarta.platform:jakarta.jakartaee-api,junit:junit]"
org.imixs.workflow.engine.jpa,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.bpmn,"[jakarta.platform:jakarta.jakartaee-api,junit:junit]"
org.imixs.workflow.faces.data,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow,"[jakarta.platform:jakarta.jakartaee-api,junit:junit,org.mockito:mockito-all]"
org.imixs.workflow.engine.lucene,"[jakarta.platform:jakarta.jakartaee-api,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-facet,org.apache.lucene:lucene-queryparser,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.adapters,"[jakarta.platform:jakarta.jakartaee-api,junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine,org.mockito:mockito-all]"
org.imixs.workflow.jee.faces.workitem,"[junit:junit,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.plugins,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine,org.mockito:mockito-all]"
