packageName,apis
cc.twittertools.corpus.demo,"[commons-cli:commons-cli,log4j:apache-log4j-extras]"
edu.illinois.lis.query,"[com.google.code.gson:gson,com.google.guava:guava,log4j:apache-log4j-extras]"
edu.illinois.lis.document,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
cc.twittertools.search.api,"[com.google.guava:guava,commons-cli:commons-cli,log4j:apache-log4j-extras,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.apache.thrift:libthrift]"
edu.gslis.ttg.searchers,[cc.twittertools:twitter-tools-core]
edu.illinois.lis.feedback,[cc.twittertools:twitter-tools-core]
edu.gslis.ttg.main,"[cc.twittertools:twitter-tools-core,com.googlecode.json-simple:json-simple,org.apache.thrift:libthrift]"
edu.illinois.lis.utils,"[com.google.code.gson:gson,commons-io:commons-io]"
edu.gslis.ttg.clusters.clusterers,[cc.twittertools:twitter-tools-core]
cc.twittertools.piggybank,[org.apache.pig:pig]
cc.twittertools.index,"[com.google.guava:guava,com.twitter:twitter-text,commons-cli:commons-cli,it.unimi.dsi:fastutil,junit:junit,log4j:apache-log4j-extras,org.apache.ant:ant,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
cc.twittertools.stream,"[log4j:apache-log4j-extras,org.twitter4j:twitter4j-core,org.twitter4j:twitter4j-stream]"
edu.illinois.lis.searchsource,[cc.twittertools:twitter-tools-core]
cc.twittertools.corpus.data,"[cc.twittertools:twitter-tools-core,com.google.code.gson:gson,com.google.guava:guava,commons-cli:commons-cli,log4j:apache-log4j-extras,org.jsoup:jsoup]"
edu.illinois.lis.search,[cc.twittertools:twitter-tools-core]
cc.twittertools.thrift.gen,[org.apache.thrift:libthrift]
cc.twittertools.hbase,"[com.google.guava:guava,log4j:apache-log4j-extras,org.apache.hadoop:hadoop-core,org.apache.hbase:hbase]"
cc.twittertools.download,"[cc.twittertools:twitter-tools-core,com.google.code.gson:gson,com.google.guava:guava,com.ning:async-http-client,commons-cli:commons-cli,commons-lang:commons-lang,junit:junit,log4j:apache-log4j-extras]"
edu.illinois.lis.rerank,[cc.twittertools:twitter-tools-core]
cc.twittertools.search.local,"[commons-cli:commons-cli,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
cc.twittertools.udf,"[cc.twittertools:twitter-tools-core,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.pig:pig]"
cc.twittertools.util,"[com.google.code.gson:gson,com.google.guava:guava,commons-cli:commons-cli,it.unimi.dsi:fastutil,log4j:apache-log4j-extras]"
cc.twittertools.search,"[com.google.guava:guava,junit:junit]"
