packageName,apis
com.browseengine.bobo.sort,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.index.digest,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets,"[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.query,[org.apache.lucene:lucene-core]
com.browseengine.bobo.util,"[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.search,[org.apache.lucene:lucene-core]
com.browseengine.bobo.docidset,[org.apache.lucene:lucene-core]
com.browseengine.bobo.search.section,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.range,[org.apache.lucene:lucene-core]
com.browseengine.bobo.facets.data,"[it.unimi.dsi:fastutil,junit:junit,log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.service,"[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.server.qlog,[log4j:log4j]
com.browseengine.bobo.facets.attribute,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.browseengine.bobo.query.scoring,"[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.facets.filter,"[it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
com.browseengine.bobo.util.test,"[junit:junit,org.apache.lucene:lucene-core]"
com.browseengine.bobo.impl,"[log4j:log4j,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
com.browseengine.bobo.api,"[log4j:log4j,org.apache.lucene:lucene-core]"
com.browseengine.bobo.facets.impl,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.browseengine.bobo.index,"[commons-cli:commons-cli,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.browseengine.bobo.test,"[junit:junit,log4j:log4j,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
