packageName,apis
com.vmware.xenon.workshop,[com.vmware.xenon:xenon-common]
com.vmware.workshop.labs,"[com.vmware.xenon:xenon-common,junit:junit]"
com.vmware.xenonlabs,"[com.vmware.xenon:xenon-common,junit:junit]"
com.vmware.xenon.samples,"[com.vmware.xenon:xenon-common,com.vmware.xenon:xenon-ui]"
com.vmware.xenon,"[com.esotericsoftware:kryo-shaded,com.vmware.xenon:xenon-common,junit:junit,org.openjdk.jmh:jmh-core]"
com.vmware.xenon.common.config,[junit:junit]
com.vmware.xenon.common.opentracing,"[com.google.code.findbugs:annotations,com.uber.jaeger:jaeger-core,io.opentracing.brave:brave-opentracing,io.opentracing:opentracing-api,io.opentracing:opentracing-mock,io.opentracing:opentracing-noop,io.opentracing:opentracing-util,io.zipkin.reporter2:zipkin-sender-okhttp3,io.zipkin.reporter2:zipkin-sender-urlconnection,junit:junit]"
com.vmware.xenon.common.jwt,"[com.google.code.gson:gson,junit:junit]"
com.vmware.xenon.common,"[com.esotericsoftware:kryo-shaded,com.google.code.gson:gson,com.vmware.xenon:xenon-common,io.netty:netty-all,io.opentracing:opentracing-api,junit:junit,org.assertj:assertj-core]"
com.vmware.xenon.services.common.stress,[junit:junit]
com.vmware.xenon.services.common.authn,"[io.netty:netty-all,junit:junit]"
example.group,"[com.vmware.xenon:xenon-common,junit:junit]"
com.vmware.xenon.common.test.websockets,"[com.vmware.xenon:xenon-common,io.netty:netty-all,junit:junit,org.mozilla:rhino]"
com.vmware.xenon.ui,[com.vmware.xenon:xenon-common]
com.vmware.xenon.host,"[com.vmware.xenon:xenon-common,com.vmware.xenon:xenon-ui,io.netty:netty-all,junit:junit]"
com.vmware.xenon.common.test,"[com.esotericsoftware:kryo-shaded,com.github.docker-java:docker-java,io.netty:netty-all,junit:junit,org.apache.lucene:lucene-core]"
com.vmware.xenon.services.samples,"[com.vmware.xenon:xenon-common,io.netty:netty-all,junit:junit]"
com.vmware.xenon.services.common,"[com.esotericsoftware:kryo-shaded,com.google.code.gson:gson,junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-grouping,org.assertj:assertj-core]"
com.vmware.xenon.examples.classic,[com.vmware.xenon:xenon-common]
com.vmware.xenon.common.fsm,[junit:junit]
com.vmware.workshop.labs.answer,"[com.vmware.xenon:xenon-common,junit:junit]"
com.vmware.xenon.common.cloning,[junit:junit]
com.vmware.xenon.examples,[com.vmware.xenon:xenon-common]
com.vmware.xenon.common.http.netty,"[io.netty:netty-all,junit:junit]"
com.vmware.xenon.performance,[com.vmware.xenon:xenon-common]
com.vmware.xenon.common.serialization,"[com.esotericsoftware:kryo-shaded,com.google.code.gson:gson,junit:junit]"
