filePath,packageName,className,methodName,line,column,javaParserTypeOfElement,usedClassOfElement,isAPIClass,api,mcrCategories,mcrTags
src/main/java/io/github/mayhewsw/Application.java,io.github.mayhewsw,Application,,6,1,MarkerAnnotationExpr,null,false (null),,,
src/main/java/io/github/mayhewsw/Application.java,io.github.mayhewsw,Application,main,11,55,ClassExpr,io.github.mayhewsw.Application,false (src),,,
src/main/java/io/github/mayhewsw/Application.java,io.github.mayhewsw,Application,main,11,33,ObjectCreationExpr,null,false (null),,,
src/main/java/io/github/mayhewsw/Application.java,io.github.mayhewsw,Application,main,9,29,Parameter,java.lang.String,false (JRE),,,
src/main/java/io/github/mayhewsw/Application.java,io.github.mayhewsw,Application,main,11,27,VariableDeclarator,null,false (null),,,
src/main/java/io/github/mayhewsw/Application.java,io.github.mayhewsw,Application,main,12,9,NameExpr,null,false (null),,,
src/main/java/io/github/mayhewsw/Application.java,io.github.mayhewsw,Application,main,12,17,NameExpr,java.lang.String,false (JRE),,,
src/main/java/io/github/mayhewsw/Application.java,io.github.mayhewsw,Application,main,12,9,MethodCallExpr,null,false (null),,,
src/main/java/io/github/mayhewsw/classifier/Candidate.java,io.github.mayhewsw.classifier,Candidate,,12,32,VariableDeclarator,java.lang.String,false (JRE),,,
src/main/java/io/github/mayhewsw/classifier/Candidate.java,io.github.mayhewsw.classifier,Candidate,,14,30,VariableDeclarator,java.util.ArrayList,false (JRE),,,
src/main/java/io/github/mayhewsw/classifier/Candidate.java,io.github.mayhewsw.classifier,Candidate,,14,30,VariableDeclarator,java.lang.String,false (JRE),,,
src/main/java/io/github/mayhewsw/classifier/Candidate.java,io.github.mayhewsw.classifier,Candidate,,15,36,VariableDeclarator,java.util.HashMap,false (JRE),,,
src/main/java/io/github/mayhewsw/classifier/Candidate.java,io.github.mayhewsw.classifier,Candidate,,15,36,VariableDeclarator,java.lang.String,false (JRE),,,
src/main/java/io/github/mayhewsw/classifier/Candidate.java,io.github.mayhewsw.classifier,Candidate,,15,36,VariableDeclarator,java.lang.Double,false (JRE),,,
src/main/java/io/github/mayhewsw/classifier/Candidate.java,io.github.mayhewsw.classifier,Candidate,,16,19,VariableDeclarator,java.lang.String,false (JRE),,,
