filePath,packageName,className,methodName,line,column,javaParserTypeOfElement,usedClassOfElement,isAPIClass,api,mcrCategories,mcrTags
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,38,46,ClassOrInterfaceType,org.lionsoul.jcseg.IDictionary,false (src),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,38,59,ClassOrInterfaceType,java.io.Serializable,false (JRE),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,45,32,VariableDeclarator,java.lang.String,false (JRE),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,47,34,VariableDeclarator,org.lionsoul.jcseg.segmenter.SegmenterConfig,false (src),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,51,20,VariableDeclarator,java.lang.Thread,false (JRE),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,66,75,ObjectCreationExpr,java.util.ArrayList,false (JRE),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,66,75,ObjectCreationExpr,java.lang.String,false (JRE),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,66,34,VariableDeclarator,java.util.List,false (JRE),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,66,34,VariableDeclarator,java.lang.String,false (JRE),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,66,46,NameExpr,java.util.Collections,false (JRE),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,66,46,MethodCallExpr,java.util.Collections,false (JRE),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,67,56,ObjectCreationExpr,java.util.HashMap,false (JRE),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,67,56,ObjectCreationExpr,java.lang.String,false (JRE),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,67,56,ObjectCreationExpr,org.lionsoul.jcseg.SynonymsEntry,false (src),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,67,46,VariableDeclarator,java.util.Map,false (JRE),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,67,46,VariableDeclarator,java.lang.String,false (JRE),,,
jcseg-core/src/main/java/org/lionsoul/jcseg/dic/ADictionary.java,org.lionsoul.jcseg.dic,ADictionary,,67,46,VariableDeclarator,org.lionsoul.jcseg.SynonymsEntry,false (src),,,
