filePath,packageName,className,methodName,line,column,javaParserTypeOfElement,usedClassOfElement,isAPIClass,api,mcrCategories,mcrTags
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,,53,50,ClassOrInterfaceType,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,,53,72,ClassOrInterfaceType,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,60,27,ClassExpr,org.sifarish.common.AttributeBasedDiversifier,false (src),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,65,28,ClassExpr,org.sifarish.common.AttributeBasedDiversifier.AttributeDiversifierMapper,false (src),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,66,29,ClassExpr,org.sifarish.common.AttributeBasedDiversifier.AttributeDiversifierReducer,false (src),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,68,34,ClassExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,69,36,ClassExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,71,31,ClassExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,72,33,ClassExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,74,40,ClassExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,75,33,ClassExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,56,19,ObjectCreationExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,63,45,ObjectCreationExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,55,42,ClassOrInterfaceType,java.lang.Exception,false (JRE),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,55,20,Parameter,java.lang.String,false (JRE),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,56,13,VariableDeclarator,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,57,16,VariableDeclarator,java.lang.String,false (JRE),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,58,9,NameExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,58,24,NameExpr,java.lang.String,false (JRE),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,60,9,NameExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,62,9,NameExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,62,39,NameExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,62,44,NameExpr,java.lang.String,false (JRE),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,63,9,NameExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,63,40,NameExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,63,54,NameExpr,java.lang.String,false (JRE),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,65,9,NameExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,66,9,NameExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,68,9,NameExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,69,9,NameExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,71,9,NameExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,72,9,NameExpr,null,false (null),,,
src/main/java/org/sifarish/common/AttributeBasedDiversifier.java,org.sifarish.common,AttributeBasedDiversifier,run,74,9,NameExpr,null,false (null),,,
