groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
nz.net.ultraq.thymeleaf,thymeleaf-layout-dialect,2.0.5,Swing Layouts,"swing,ui,layout",true,,https://repo1.maven.org/maven2/nz/net/ultraq/thymeleaf/thymeleaf-layout-dialect/2.0.5/thymeleaf-layout-dialect-2.0.5.jar,temp/dependencies/CogComp/talen/nz/net/ultraq/thymeleaf/thymeleaf-layout-dialect/2.0.5/thymeleaf-layout-dialect-2.0.5.jar
commons-cli,commons-cli,1.4,Command Line Parsers,"command-line,cli,parser",true,,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.4/commons-cli-1.4.jar,temp/dependencies/CogComp/talen/commons-cli/commons-cli/1.4/commons-cli-1.4.jar
org.apache.lucene,lucene-queryparser,6.4.1,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/6.4.1/lucene-queryparser-6.4.1.jar,temp/dependencies/CogComp/talen/org/apache/lucene/lucene-queryparser/6.4.1/lucene-queryparser-6.4.1.jar
org.thymeleaf,thymeleaf-spring5,3.0.9.RELEASE,,spring,true,,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf-spring5/3.0.9.RELEASE/thymeleaf-spring5-3.0.9.RELEASE.jar,temp/dependencies/CogComp/talen/org/thymeleaf/thymeleaf-spring5/3.0.9.RELEASE/thymeleaf-spring5-3.0.9.RELEASE.jar
edu.illinois.cs.cogcomp,illinois-corpusreaders,3.1.19,,,false,null,,
cz.jirutka.unidecode,unidecode,1.0.1,,,true,,https://repo1.maven.org/maven2/cz/jirutka/unidecode/unidecode/1.0.1/unidecode-1.0.1.jar,temp/dependencies/CogComp/talen/cz/jirutka/unidecode/unidecode/1.0.1/unidecode-1.0.1.jar
org.apache.commons,commons-lang3,3.0,Core Utilities,"apache,commons",true,,https://repo1.maven.org/maven2/org/apache/commons/commons-lang3/3.0/commons-lang3-3.0.jar,temp/dependencies/CogComp/talen/org/apache/commons/commons-lang3/3.0/commons-lang3-3.0.jar
org.thymeleaf,thymeleaf,3.0.9.RELEASE,Template Engines,"template,engine",true,,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/3.0.9.RELEASE/thymeleaf-3.0.9.RELEASE.jar,temp/dependencies/CogComp/talen/org/thymeleaf/thymeleaf/3.0.9.RELEASE/thymeleaf-3.0.9.RELEASE.jar
edu.illinois.cs.cogcomp,illinois-core-utilities,4.0.4,,,false,null,,
org.apache.lucene,lucene-analyzers-common,6.4.1,,"lucene,analyzer,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/6.4.1/lucene-analyzers-common-6.4.1.jar,temp/dependencies/CogComp/talen/org/apache/lucene/lucene-analyzers-common/6.4.1/lucene-analyzers-common-6.4.1.jar
org.apache.commons,commons-text,1.2,String Utilities,"text,apache,commons",true,,https://repo1.maven.org/maven2/org/apache/commons/commons-text/1.2/commons-text-1.2.jar,temp/dependencies/CogComp/talen/org/apache/commons/commons-text/1.2/commons-text-1.2.jar
org.apache.lucene,lucene-core,6.4.1,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/6.4.1/lucene-core-6.4.1.jar,temp/dependencies/CogComp/talen/org/apache/lucene/lucene-core/6.4.1/lucene-core-6.4.1.jar
