groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
com.microsoft.sqlserver,mssql-jdbc,8.4.1.jre11,,"sql,jdbc",true,,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.4.1.jre11/mssql-jdbc-8.4.1.jre11.jar,temp/dependencies/DependencyTrack/dependency-track/com/microsoft/sqlserver/mssql-jdbc/8.4.1.jre11/mssql-jdbc-8.4.1.jre11.jar
org.apache.lucene,lucene-sandbox,8.11.0,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-sandbox/8.11.0/lucene-sandbox-8.11.0.jar,temp/dependencies/DependencyTrack/dependency-track/org/apache/lucene/lucene-sandbox/8.11.0/lucene-sandbox-8.11.0.jar
us.springett,cpe-parser,2.0.2,,parser,true,,https://repo1.maven.org/maven2/us/springett/cpe-parser/2.0.2/cpe-parser-2.0.2.jar,temp/dependencies/DependencyTrack/dependency-track/us/springett/cpe-parser/2.0.2/cpe-parser-2.0.2.jar
org.glassfish.jaxb,jaxb-runtime,2.3.3,,"binding,xml,runtime",true,,https://repo1.maven.org/maven2/org/glassfish/jaxb/jaxb-runtime/2.3.3/jaxb-runtime-2.3.3.jar,temp/dependencies/DependencyTrack/dependency-track/org/glassfish/jaxb/jaxb-runtime/2.3.3/jaxb-runtime-2.3.3.jar
org.apache.lucene,lucene-queryparser,8.11.0,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/8.11.0/lucene-queryparser-8.11.0.jar,temp/dependencies/DependencyTrack/dependency-track/org/apache/lucene/lucene-queryparser/8.11.0/lucene-queryparser-8.11.0.jar
org.mock-server,mockserver-netty,5.11.2,Mocking,"network,mock,socket,server,mocking,testing,netty",true,,https://repo1.maven.org/maven2/org/mock-server/mockserver-netty/5.11.2/mockserver-netty-5.11.2.jar,temp/dependencies/DependencyTrack/dependency-track/org/mock-server/mockserver-netty/5.11.2/mockserver-netty-5.11.2.jar
org.apache.lucene,lucene-core,8.11.0,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/8.11.0/lucene-core-8.11.0.jar,temp/dependencies/DependencyTrack/dependency-track/org/apache/lucene/lucene-core/8.11.0/lucene-core-8.11.0.jar
org.apache.lucene,lucene-queries,8.11.0,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queries/8.11.0/lucene-queries-8.11.0.jar,temp/dependencies/DependencyTrack/dependency-track/org/apache/lucene/lucene-queries/8.11.0/lucene-queries-8.11.0.jar
org.cyclonedx,cyclonedx-core-java,5.0.4,,,true,,https://repo1.maven.org/maven2/org/cyclonedx/cyclonedx-core-java/5.0.4/cyclonedx-core-java-5.0.4.jar,temp/dependencies/DependencyTrack/dependency-track/org/cyclonedx/cyclonedx-core-java/5.0.4/cyclonedx-core-java-5.0.4.jar
mysql,mysql-connector-java,8.0.27,MySQL Drivers,"mysql,database,connector,driver",true,,https://repo1.maven.org/maven2/mysql/mysql-connector-java/8.0.27/mysql-connector-java-8.0.27.jar,temp/dependencies/DependencyTrack/dependency-track/mysql/mysql-connector-java/8.0.27/mysql-connector-java-8.0.27.jar
com.fasterxml.woodstox,woodstox-core,6.2.7,,,true,,https://repo1.maven.org/maven2/com/fasterxml/woodstox/woodstox-core/6.2.7/woodstox-core-6.2.7.jar,temp/dependencies/DependencyTrack/dependency-track/com/fasterxml/woodstox/woodstox-core/6.2.7/woodstox-core-6.2.7.jar
org.postgresql,postgresql,42.3.1,PostgreSQL Drivers,"database,postgresql,driver",true,,https://repo1.maven.org/maven2/org/postgresql/postgresql/42.3.1/postgresql-42.3.1.jar,temp/dependencies/DependencyTrack/dependency-track/org/postgresql/postgresql/42.3.1/postgresql-42.3.1.jar
us.springett,vulndb-data-mirror,1.0.0,,data,true,,https://repo1.maven.org/maven2/us/springett/vulndb-data-mirror/1.0.0/vulndb-data-mirror-1.0.0.jar,temp/dependencies/DependencyTrack/dependency-track/us/springett/vulndb-data-mirror/1.0.0/vulndb-data-mirror-1.0.0.jar
us.springett,cvss-calculator,1.4.1,,,true,,https://repo1.maven.org/maven2/us/springett/cvss-calculator/1.4.1/cvss-calculator-1.4.1.jar,temp/dependencies/DependencyTrack/dependency-track/us/springett/cvss-calculator/1.4.1/cvss-calculator-1.4.1.jar
io.pebbletemplates,pebble,3.1.5,,io,true,,https://repo1.maven.org/maven2/io/pebbletemplates/pebble/3.1.5/pebble-3.1.5.jar,temp/dependencies/DependencyTrack/dependency-track/io/pebbletemplates/pebble/3.1.5/pebble-3.1.5.jar
