groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.ansj,ansj_lucene4_plug,5.0.2,,"lucene,index",true,,https://repo1.maven.org/maven2/org/ansj/ansj_lucene4_plug/5.0.2/ansj_lucene4_plug-5.0.2.jar,temp/dependencies/NLPchina/ansj_seg/org/ansj/ansj_lucene4_plug/5.0.2/ansj_lucene4_plug-5.0.2.jar
org.apache.lucene,lucene-queryparser,7.0.1,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/7.0.1/lucene-queryparser-7.0.1.jar,temp/dependencies/NLPchina/ansj_seg/org/apache/lucene/lucene-queryparser/7.0.1/lucene-queryparser-7.0.1.jar
org.apache.lucene,lucene-core,4.10.2,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/4.10.2/lucene-core-4.10.2.jar,temp/dependencies/NLPchina/ansj_seg/org/apache/lucene/lucene-core/4.10.2/lucene-core-4.10.2.jar
org.ansj,ansj_lucene6_plug,3.7.3,,"lucene,index",true,5.1.2.1,https://repo1.maven.org/maven2/org/ansj/ansj_lucene6_plug/5.1.2.1/ansj_lucene6_plug-5.1.2.1.jar,temp/dependencies/NLPchina/ansj_seg/org/ansj/ansj_lucene6_plug/5.1.2.1/ansj_lucene6_plug-5.1.2.1.jar
org.apache.lucene,lucene-analyzers-common,4.10.2,,"lucene,analyzer,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/4.10.2/lucene-analyzers-common-4.10.2.jar,temp/dependencies/NLPchina/ansj_seg/org/apache/lucene/lucene-analyzers-common/4.10.2/lucene-analyzers-common-4.10.2.jar
org.apache.lucene,lucene-highlighter,6.0.0,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-highlighter/6.0.0/lucene-highlighter-6.0.0.jar,temp/dependencies/NLPchina/ansj_seg/org/apache/lucene/lucene-highlighter/6.0.0/lucene-highlighter-6.0.0.jar
org.apache.lucene,lucene-highlighter,7.0.1,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-highlighter/7.0.1/lucene-highlighter-7.0.1.jar,temp/dependencies/NLPchina/ansj_seg/org/apache/lucene/lucene-highlighter/7.0.1/lucene-highlighter-7.0.1.jar
org.apache.lucene,lucene-core,7.0.1,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/7.0.1/lucene-core-7.0.1.jar,temp/dependencies/NLPchina/ansj_seg/org/apache/lucene/lucene-core/7.0.1/lucene-core-7.0.1.jar
org.apache.lucene,lucene-queries,6.0.0,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queries/6.0.0/lucene-queries-6.0.0.jar,temp/dependencies/NLPchina/ansj_seg/org/apache/lucene/lucene-queries/6.0.0/lucene-queries-6.0.0.jar
org.apache.lucene,lucene-queryparser,4.10.2,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/4.10.2/lucene-queryparser-4.10.2.jar,temp/dependencies/NLPchina/ansj_seg/org/apache/lucene/lucene-queryparser/4.10.2/lucene-queryparser-4.10.2.jar
