groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
com.google.code.gson,gson,2.8.0,JSON Libraries,"google,json",true,,https://repo1.maven.org/maven2/com/google/code/gson/gson/2.8.0/gson-2.8.0.jar,temp/dependencies/boyter/searchcode-server/com/google/code/gson/gson/2.8.0/gson-2.8.0.jar
org.apache.lucene,lucene-core,5.5.5,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/5.5.5/lucene-core-5.5.5.jar,temp/dependencies/boyter/searchcode-server/org/apache/lucene/lucene-core/5.5.5/lucene-core-5.5.5.jar
commons-codec,commons-codec,1.10,Base64 Libraries,"codec,base64,encoding",true,,https://repo1.maven.org/maven2/commons-codec/commons-codec/1.10/commons-codec-1.10.jar,temp/dependencies/boyter/searchcode-server/commons-codec/commons-codec/1.10/commons-codec-1.10.jar
com.google.guava,guava,18.0,Core Utilities,google,true,,https://repo1.maven.org/maven2/com/google/guava/guava/18.0/guava-18.0.jar,temp/dependencies/boyter/searchcode-server/com/google/guava/guava/18.0/guava-18.0.jar
org.eclipse.jgit,org.eclipse.jgit,4.5.0.201609210915-r,Git Tools,"eclipse,git,scm,version-control",true,,https://repo1.maven.org/maven2/org/eclipse/jgit/org.eclipse.jgit/4.5.0.201609210915-r/org.eclipse.jgit-4.5.0.201609210915-r.jar,temp/dependencies/boyter/searchcode-server/org/eclipse/jgit/org.eclipse.jgit/4.5.0.201609210915-r/org.eclipse.jgit-4.5.0.201609210915-r.jar
net.sf.opencsv,opencsv,2.3,CSV Libraries,"csv,tabular",true,,https://repo1.maven.org/maven2/net/sf/opencsv/opencsv/2.3/opencsv-2.3.jar,temp/dependencies/boyter/searchcode-server/net/sf/opencsv/opencsv/2.3/opencsv-2.3.jar
org.freemarker,freemarker,2.3.23,Template Engines,"template,engine",true,,https://repo1.maven.org/maven2/org/freemarker/freemarker/2.3.23/freemarker-2.3.23.jar,temp/dependencies/boyter/searchcode-server/org/freemarker/freemarker/2.3.23/freemarker-2.3.23.jar
org.slf4j,slf4j-simple,1.7.21,Logging Frameworks,"logging,slf4j",true,,https://repo1.maven.org/maven2/org/slf4j/slf4j-simple/1.7.21/slf4j-simple-1.7.21.jar,temp/dependencies/boyter/searchcode-server/org/slf4j/slf4j-simple/1.7.21/slf4j-simple-1.7.21.jar
commons-io,commons-io,2.4,I/O Utilities,io,true,,https://repo1.maven.org/maven2/commons-io/commons-io/2.4/commons-io-2.4.jar,temp/dependencies/boyter/searchcode-server/commons-io/commons-io/2.4/commons-io-2.4.jar
org.codehaus.guessencoding,guessencoding,1.4,,codehaus,true,,https://repo1.maven.org/maven2/org/codehaus/guessencoding/guessencoding/1.4/guessencoding-1.4.jar,temp/dependencies/boyter/searchcode-server/org/codehaus/guessencoding/guessencoding/1.4/guessencoding-1.4.jar
com.sparkjava,spark-core,2.7.2,Web Frameworks,"spark,web,framework",true,,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.7.2/spark-core-2.7.2.jar,temp/dependencies/boyter/searchcode-server/com/sparkjava/spark-core/2.7.2/spark-core-2.7.2.jar
org.apache.lucene,lucene-facet,5.5.5,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-facet/5.5.5/lucene-facet-5.5.5.jar,temp/dependencies/boyter/searchcode-server/org/apache/lucene/lucene-facet/5.5.5/lucene-facet-5.5.5.jar
org.apache.lucene,lucene-queryparser,5.5.5,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/5.5.5/lucene-queryparser-5.5.5.jar,temp/dependencies/boyter/searchcode-server/org/apache/lucene/lucene-queryparser/5.5.5/lucene-queryparser-5.5.5.jar
com.zaxxer,HikariCP,3.3.1,JDBC Pools,"jdbc,pool",true,,https://repo1.maven.org/maven2/com/zaxxer/HikariCP/3.3.1/HikariCP-3.3.1.jar,temp/dependencies/boyter/searchcode-server/com/zaxxer/HikariCP/3.3.1/HikariCP-3.3.1.jar
org.assertj,assertj-core,3.5.2,Assertion Libraries,"assertion,quality",true,,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.5.2/assertj-core-3.5.2.jar,temp/dependencies/boyter/searchcode-server/org/assertj/assertj-core/3.5.2/assertj-core-3.5.2.jar
mysql,mysql-connector-java,5.1.35,MySQL Drivers,"mysql,database,connector,driver",true,,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.35/mysql-connector-java-5.1.35.jar,temp/dependencies/boyter/searchcode-server/mysql/mysql-connector-java/5.1.35/mysql-connector-java-5.1.35.jar
org.zeroturnaround,zt-exec,1.10,External Process Execution,"execution,process,command,external",true,,https://repo1.maven.org/maven2/org/zeroturnaround/zt-exec/1.10/zt-exec-1.10.jar,temp/dependencies/boyter/searchcode-server/org/zeroturnaround/zt-exec/1.10/zt-exec-1.10.jar
org.apache.commons,commons-lang3,3.4,Core Utilities,"apache,commons",true,,https://repo1.maven.org/maven2/org/apache/commons/commons-lang3/3.4/commons-lang3-3.4.jar,temp/dependencies/boyter/searchcode-server/org/apache/commons/commons-lang3/3.4/commons-lang3-3.4.jar
com.sparkjava,spark-template-freemarker,2.0.0,,"spark,template",true,,https://repo1.maven.org/maven2/com/sparkjava/spark-template-freemarker/2.0.0/spark-template-freemarker-2.0.0.jar,temp/dependencies/boyter/searchcode-server/com/sparkjava/spark-template-freemarker/2.0.0/spark-template-freemarker-2.0.0.jar
junit,junit,4.12,Testing Frameworks,"testing,junit",true,,https://repo1.maven.org/maven2/junit/junit/4.12/junit-4.12.jar,temp/dependencies/boyter/searchcode-server/junit/junit/4.12/junit-4.12.jar
org.xerial,sqlite-jdbc,3.8.6,,"sqlite,sql,jdbc",true,,https://repo1.maven.org/maven2/org/xerial/sqlite-jdbc/3.8.6/sqlite-jdbc-3.8.6.jar,temp/dependencies/boyter/searchcode-server/org/xerial/sqlite-jdbc/3.8.6/sqlite-jdbc-3.8.6.jar
