groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.restlet.jse,org.restlet.ext.simple,2.2.0,,,false,null,,
org.apache.lucene,lucene-core,4.4.0,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/4.4.0/lucene-core-4.4.0.jar,temp/dependencies/dice-group/AGDISTIS/org/apache/lucene/lucene-core/4.4.0/lucene-core-4.4.0.jar
org.restlet.jse,org.restlet,2.2.0,,,false,null,,
edu.stanford.nlp,stanford-corenlp,3.6.0,Natural Language Processing,nlp,true,,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/3.6.0/stanford-corenlp-3.6.0.jar,temp/dependencies/dice-group/AGDISTIS/edu/stanford/nlp/stanford-corenlp/3.6.0/stanford-corenlp-3.6.0.jar
org.slf4j,slf4j-log4j12,1.7.7,Logging Bridges,"logging,bridge,slf4j",true,,https://repo1.maven.org/maven2/org/slf4j/slf4j-log4j12/1.7.7/slf4j-log4j12-1.7.7.jar,temp/dependencies/dice-group/AGDISTIS/org/slf4j/slf4j-log4j12/1.7.7/slf4j-log4j12-1.7.7.jar
org.restlet.jee,org.restlet.ext.servlet,2.2.0,,servlet,false,null,,
commons-lang,commons-lang,2.6,Core Utilities,,true,,https://repo1.maven.org/maven2/commons-lang/commons-lang/2.6/commons-lang-2.6.jar,temp/dependencies/dice-group/AGDISTIS/commons-lang/commons-lang/2.6/commons-lang-2.6.jar
junit,junit,4.11,Testing Frameworks,"testing,junit",true,,https://repo1.maven.org/maven2/junit/junit/4.11/junit-4.11.jar,temp/dependencies/dice-group/AGDISTIS/junit/junit/4.11/junit-4.11.jar
org.openrdf.sesame,sesame-runtime,2.7.0-beta1,,runtime,true,,https://repo1.maven.org/maven2/org/openrdf/sesame/sesame-runtime/2.7.0-beta1/sesame-runtime-2.7.0-beta1.jar,temp/dependencies/dice-group/AGDISTIS/org/openrdf/sesame/sesame-runtime/2.7.0-beta1/sesame-runtime-2.7.0-beta1.jar
commons-validator,commons-validator,1.4.0,Validation Frameworks,validation,true,,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.4.0/commons-validator-1.4.0.jar,temp/dependencies/dice-group/AGDISTIS/commons-validator/commons-validator/1.4.0/commons-validator-1.4.0.jar
org.openrdf.sesame,sesame-rio-turtle,2.7.0-beta1,,,true,,https://repo1.maven.org/maven2/org/openrdf/sesame/sesame-rio-turtle/2.7.0-beta1/sesame-rio-turtle-2.7.0-beta1.jar,temp/dependencies/dice-group/AGDISTIS/org/openrdf/sesame/sesame-rio-turtle/2.7.0-beta1/sesame-rio-turtle-2.7.0-beta1.jar
com.googlecode.json-simple,json-simple,1.1.1,JSON Libraries,json,true,,https://repo1.maven.org/maven2/com/googlecode/json-simple/json-simple/1.1.1/json-simple-1.1.1.jar,temp/dependencies/dice-group/AGDISTIS/com/googlecode/json-simple/json-simple/1.1.1/json-simple-1.1.1.jar
org.aksw,gerbil.nif.transfer,1.2.2-jena3.1,null,null,false,null,,
com.google.guava,guava,18.0,Core Utilities,google,true,,https://repo1.maven.org/maven2/com/google/guava/guava/18.0/guava-18.0.jar,temp/dependencies/dice-group/AGDISTIS/com/google/guava/guava/18.0/guava-18.0.jar
org.apache.solr,solr-lucene-core,1.3.0,,"lucene,apache,solr,index,search",true,,https://repo1.maven.org/maven2/org/apache/solr/solr-lucene-core/1.3.0/solr-lucene-core-1.3.0.jar,temp/dependencies/dice-group/AGDISTIS/org/apache/solr/solr-lucene-core/1.3.0/solr-lucene-core-1.3.0.jar
org.apache.lucene,lucene-analyzers-common,4.4.0,,"lucene,analyzer,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/4.4.0/lucene-analyzers-common-4.4.0.jar,temp/dependencies/dice-group/AGDISTIS/org/apache/lucene/lucene-analyzers-common/4.4.0/lucene-analyzers-common-4.4.0.jar
xml-apis,xml-apis,1.4.01,XML Processing,"xml,api",true,,https://repo1.maven.org/maven2/xml-apis/xml-apis/1.4.01/xml-apis-1.4.01.jar,temp/dependencies/dice-group/AGDISTIS/xml-apis/xml-apis/1.4.01/xml-apis-1.4.01.jar
org.apache.lucene,lucene-spellchecker,3.6.2,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-spellchecker/3.6.2/lucene-spellchecker-3.6.2.jar,temp/dependencies/dice-group/AGDISTIS/org/apache/lucene/lucene-spellchecker/3.6.2/lucene-spellchecker-3.6.2.jar
com.github.haifengl,smile-nlp,1.2.0,Natural Language Processing,"github,nlp",true,,https://repo1.maven.org/maven2/com/github/haifengl/smile-nlp/1.2.0/smile-nlp-1.2.0.jar,temp/dependencies/dice-group/AGDISTIS/com/github/haifengl/smile-nlp/1.2.0/smile-nlp-1.2.0.jar
org.slf4j,slf4j-api,1.7.7,Logging Frameworks,"logging,api,slf4j",true,,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.7.7/slf4j-api-1.7.7.jar,temp/dependencies/dice-group/AGDISTIS/org/slf4j/slf4j-api/1.7.7/slf4j-api-1.7.7.jar
net.sf.jung,jung-graph-impl,2.0.1,,graph,true,,https://repo1.maven.org/maven2/net/sf/jung/jung-graph-impl/2.0.1/jung-graph-impl-2.0.1.jar,temp/dependencies/dice-group/AGDISTIS/net/sf/jung/jung-graph-impl/2.0.1/jung-graph-impl-2.0.1.jar
org.apache.commons,commons-lang3,3.4,Core Utilities,"apache,commons",true,,https://repo1.maven.org/maven2/org/apache/commons/commons-lang3/3.4/commons-lang3-3.4.jar,temp/dependencies/dice-group/AGDISTIS/org/apache/commons/commons-lang3/3.4/commons-lang3-3.4.jar
org.apache.lucene,lucene-queryparser,4.4.0,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/4.4.0/lucene-queryparser-4.4.0.jar,temp/dependencies/dice-group/AGDISTIS/org/apache/lucene/lucene-queryparser/4.4.0/lucene-queryparser-4.4.0.jar
