groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.apache.lucene,lucene-core,7.3.1,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/7.3.1/lucene-core-7.3.1.jar,temp/dependencies/intuit/fuzzy-matcher/org/apache/lucene/lucene-core/7.3.1/lucene-core-7.3.1.jar
com.opencsv,opencsv,3.8,CSV Libraries,"csv,tabular",true,,https://repo1.maven.org/maven2/com/opencsv/opencsv/3.8/opencsv-3.8.jar,temp/dependencies/intuit/fuzzy-matcher/com/opencsv/opencsv/3.8/opencsv-3.8.jar
junit,junit,4.13.2,Testing Frameworks,"testing,junit",true,,https://repo1.maven.org/maven2/junit/junit/4.13.2/junit-4.13.2.jar,temp/dependencies/intuit/fuzzy-matcher/junit/junit/4.13.2/junit-4.13.2.jar
commons-codec,commons-codec,1.15,Base64 Libraries,"codec,base64,encoding",true,,https://repo1.maven.org/maven2/commons-codec/commons-codec/1.15/commons-codec-1.15.jar,temp/dependencies/intuit/fuzzy-matcher/commons-codec/commons-codec/1.15/commons-codec-1.15.jar
org.apache.lucene,lucene-analyzers-common,7.3.1,,"lucene,analyzer,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/7.3.1/lucene-analyzers-common-7.3.1.jar,temp/dependencies/intuit/fuzzy-matcher/org/apache/lucene/lucene-analyzers-common/7.3.1/lucene-analyzers-common-7.3.1.jar
org.slf4j,slf4j-api,1.7.32,Logging Frameworks,"logging,api,slf4j",true,,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.7.32/slf4j-api-1.7.32.jar,temp/dependencies/intuit/fuzzy-matcher/org/slf4j/slf4j-api/1.7.32/slf4j-api-1.7.32.jar
org.apache.commons,commons-math3,3.6.1,Math Libraries,"math,apache,commons",true,,https://repo1.maven.org/maven2/org/apache/commons/commons-math3/3.6.1/commons-math3-3.6.1.jar,temp/dependencies/intuit/fuzzy-matcher/org/apache/commons/commons-math3/3.6.1/commons-math3-3.6.1.jar
org.apache.commons,commons-collections4,4.4,Collections,"structures,collections,apache,commons",true,,https://repo1.maven.org/maven2/org/apache/commons/commons-collections4/4.4/commons-collections4-4.4.jar,temp/dependencies/intuit/fuzzy-matcher/org/apache/commons/commons-collections4/4.4/commons-collections4-4.4.jar
org.mockito,mockito-all,1.10.19,Mocking,"mock,mocking,testing",true,,https://repo1.maven.org/maven2/org/mockito/mockito-all/1.10.19/mockito-all-1.10.19.jar,temp/dependencies/intuit/fuzzy-matcher/org/mockito/mockito-all/1.10.19/mockito-all-1.10.19.jar
org.apache.commons,commons-text,1.9,String Utilities,"text,apache,commons",true,,https://repo1.maven.org/maven2/org/apache/commons/commons-text/1.9/commons-text-1.9.jar,temp/dependencies/intuit/fuzzy-matcher/org/apache/commons/commons-text/1.9/commons-text-1.9.jar
org.apache.commons,commons-lang3,3.11,Core Utilities,"apache,commons",true,,https://repo1.maven.org/maven2/org/apache/commons/commons-lang3/3.11/commons-lang3-3.11.jar,temp/dependencies/intuit/fuzzy-matcher/org/apache/commons/commons-lang3/3.11/commons-lang3-3.11.jar
