groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.twitter4j,twitter4j-stream,3.0.3,Social Network Clients,"streaming,social,twitter",true,,https://repo1.maven.org/maven2/org/twitter4j/twitter4j-stream/3.0.3/twitter4j-stream-3.0.3.jar,temp/dependencies/lintool/twitter-tools/org/twitter4j/twitter4j-stream/3.0.3/twitter4j-stream-3.0.3.jar
junit,junit,3.8.1,Testing Frameworks,"testing,junit",true,,https://repo1.maven.org/maven2/junit/junit/3.8.1/junit-3.8.1.jar,temp/dependencies/lintool/twitter-tools/junit/junit/3.8.1/junit-3.8.1.jar
commons-lang,commons-lang,2.6,Core Utilities,,true,,https://repo1.maven.org/maven2/commons-lang/commons-lang/2.6/commons-lang-2.6.jar,temp/dependencies/lintool/twitter-tools/commons-lang/commons-lang/2.6/commons-lang-2.6.jar
org.apache.pig,pig,0.12.1,Hadoop Query Engines,"apache,hadoop,query,bigdata",true,,https://repo1.maven.org/maven2/org/apache/pig/pig/0.12.1/pig-0.12.1.jar,temp/dependencies/lintool/twitter-tools/org/apache/pig/pig/0.12.1/pig-0.12.1.jar
edu.gslis,ir-utils,0.0.1-SNAPSHOT,null,null,false,null,,
com.twitter,twitter-text,1.6.1,,"twitter,text",true,,https://repo1.maven.org/maven2/com/twitter/twitter-text/1.6.1/twitter-text-1.6.1.jar,temp/dependencies/lintool/twitter-tools/com/twitter/twitter-text/1.6.1/twitter-text-1.6.1.jar
cc.twittertools,twitter-tools-core,1.4.1,,"tools,twitter",true,,https://repo1.maven.org/maven2/cc/twittertools/twitter-tools-core/1.4.1/twitter-tools-core-1.4.1.jar,temp/dependencies/lintool/twitter-tools/cc/twittertools/twitter-tools-core/1.4.1/twitter-tools-core-1.4.1.jar
org.twitter4j,twitter4j-core,3.0.3,Social Network Clients,"social,twitter",true,,https://repo1.maven.org/maven2/org/twitter4j/twitter4j-core/3.0.3/twitter4j-core-3.0.3.jar,temp/dependencies/lintool/twitter-tools/org/twitter4j/twitter4j-core/3.0.3/twitter4j-core-3.0.3.jar
com.google.code.gson,gson,1.6,JSON Libraries,"google,json",true,,https://repo1.maven.org/maven2/com/google/code/gson/gson/1.6/gson-1.6.jar,temp/dependencies/lintool/twitter-tools/com/google/code/gson/gson/1.6/gson-1.6.jar
cc.twittertools,twitter-tools,1.3.0,,"tools,twitter",true,,https://repo1.maven.org/maven2/cc/twittertools/twitter-tools/1.3.0/twitter-tools-1.3.0.jar,temp/dependencies/lintool/twitter-tools/cc/twittertools/twitter-tools/1.3.0/twitter-tools-1.3.0.jar
