groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.apache.lucene,lucene-spatial,4.3.0,,"lucene,spatial,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-spatial/4.3.0/lucene-spatial-4.3.0.jar,temp/dependencies/senseidb/bobo/org/apache/lucene/lucene-spatial/4.3.0/lucene-spatial-4.3.0.jar
junit,junit,4.5,Testing Frameworks,"testing,junit",true,,https://repo1.maven.org/maven2/junit/junit/4.5/junit-4.5.jar,temp/dependencies/senseidb/bobo/junit/junit/4.5/junit-4.5.jar
commons-cli,commons-cli,1.2,Command Line Parsers,"command-line,cli,parser",true,,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.2/commons-cli-1.2.jar,temp/dependencies/senseidb/bobo/commons-cli/commons-cli/1.2/commons-cli-1.2.jar
org.apache.lucene,lucene-core,4.3.0,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/4.3.0/lucene-core-4.3.0.jar,temp/dependencies/senseidb/bobo/org/apache/lucene/lucene-core/4.3.0/lucene-core-4.3.0.jar
org.apache.lucene,lucene-queryparser,4.3.0,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/4.3.0/lucene-queryparser-4.3.0.jar,temp/dependencies/senseidb/bobo/org/apache/lucene/lucene-queryparser/4.3.0/lucene-queryparser-4.3.0.jar
it.unimi.dsi,fastutil,6.4.4,Collections,"collections,structures",true,,https://repo1.maven.org/maven2/it/unimi/dsi/fastutil/6.4.4/fastutil-6.4.4.jar,temp/dependencies/senseidb/bobo/it/unimi/dsi/fastutil/6.4.4/fastutil-6.4.4.jar
org.springframework,spring-context,2.5.5,Dependency Injection,"spring,dependency-injection",true,,https://repo1.maven.org/maven2/org/springframework/spring-context/2.5.5/spring-context-2.5.5.jar,temp/dependencies/senseidb/bobo/org/springframework/spring-context/2.5.5/spring-context-2.5.5.jar
log4j,log4j,1.2.14,Logging Frameworks,logging,true,,https://repo1.maven.org/maven2/log4j/log4j/1.2.14/log4j-1.2.14.jar,temp/dependencies/senseidb/bobo/log4j/log4j/1.2.14/log4j-1.2.14.jar
log4j,log4j,1.2.13,Logging Frameworks,logging,true,,https://repo1.maven.org/maven2/log4j/log4j/1.2.13/log4j-1.2.13.jar,temp/dependencies/senseidb/bobo/log4j/log4j/1.2.13/log4j-1.2.13.jar
org.apache.lucene,lucene-analyzers-common,4.3.0,,"lucene,analyzer,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/4.3.0/lucene-analyzers-common-4.3.0.jar,temp/dependencies/senseidb/bobo/org/apache/lucene/lucene-analyzers-common/4.3.0/lucene-analyzers-common-4.3.0.jar
