groupId,artifactId,version,mcrCategories,mcrTags,downloaded,dlVersIfDiff,jarURL,pathToJAR
org.apache.lucene,lucene-highlighter,7.2.1,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-highlighter/7.2.1/lucene-highlighter-7.2.1.jar,temp/dependencies/weiboad/fiery/org/apache/lucene/lucene-highlighter/7.2.1/lucene-highlighter-7.2.1.jar
com.alibaba,druid,1.1.5,,,true,,https://repo1.maven.org/maven2/com/alibaba/druid/1.1.5/druid-1.1.5.jar,temp/dependencies/weiboad/fiery/com/alibaba/druid/1.1.5/druid-1.1.5.jar
com.google.code.gson,gson,2.7,JSON Libraries,"google,json",true,,https://repo1.maven.org/maven2/com/google/code/gson/gson/2.7/gson-2.7.jar,temp/dependencies/weiboad/fiery/com/google/code/gson/gson/2.7/gson-2.7.jar
org.springframework.boot,spring-boot-configuration-processor,1.5.2.RELEASE,Annotation Processing Tools,"spring,annotation,config,processor",true,,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-configuration-processor/1.5.2.RELEASE/spring-boot-configuration-processor-1.5.2.RELEASE.jar,temp/dependencies/weiboad/fiery/org/springframework/boot/spring-boot-configuration-processor/1.5.2.RELEASE/spring-boot-configuration-processor-1.5.2.RELEASE.jar
com.squareup.okhttp3,okhttp,3.8.0,HTTP Clients,"http,client",true,,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.8.0/okhttp-3.8.0.jar,temp/dependencies/weiboad/fiery/com/squareup/okhttp3/okhttp/3.8.0/okhttp-3.8.0.jar
org.apache.lucene,lucene-analyzers-common,7.2.1,,"lucene,analyzer,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-common/7.2.1/lucene-analyzers-common-7.2.1.jar,temp/dependencies/weiboad/fiery/org/apache/lucene/lucene-analyzers-common/7.2.1/lucene-analyzers-common-7.2.1.jar
org.rocksdb,rocksdbjni,4.9.0,,rocksdb,true,,https://repo1.maven.org/maven2/org/rocksdb/rocksdbjni/4.9.0/rocksdbjni-4.9.0.jar,temp/dependencies/weiboad/fiery/org/rocksdb/rocksdbjni/4.9.0/rocksdbjni-4.9.0.jar
commons-lang,commons-lang,2.6,Core Utilities,,true,,https://repo1.maven.org/maven2/commons-lang/commons-lang/2.6/commons-lang-2.6.jar,temp/dependencies/weiboad/fiery/commons-lang/commons-lang/2.6/commons-lang-2.6.jar
org.springframework.boot,spring-boot-starter-test,1.5.2.RELEASE,Testing Frameworks,"spring,testing,starter",true,,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-test/1.5.2.RELEASE/spring-boot-starter-test-1.5.2.RELEASE.jar,temp/dependencies/weiboad/fiery/org/springframework/boot/spring-boot-starter-test/1.5.2.RELEASE/spring-boot-starter-test-1.5.2.RELEASE.jar
org.apache.lucene,lucene-analyzers-smartcn,7.2.1,,"lucene,analyzer,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-analyzers-smartcn/7.2.1/lucene-analyzers-smartcn-7.2.1.jar,temp/dependencies/weiboad/fiery/org/apache/lucene/lucene-analyzers-smartcn/7.2.1/lucene-analyzers-smartcn-7.2.1.jar
com.google.code.gson,gson,2.8.1,JSON Libraries,"google,json",true,,https://repo1.maven.org/maven2/com/google/code/gson/gson/2.8.1/gson-2.8.1.jar,temp/dependencies/weiboad/fiery/com/google/code/gson/gson/2.8.1/gson-2.8.1.jar
org.apache.lucene,lucene-core,7.2.1,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-core/7.2.1/lucene-core-7.2.1.jar,temp/dependencies/weiboad/fiery/org/apache/lucene/lucene-core/7.2.1/lucene-core-7.2.1.jar
commons-cli,commons-cli,1.2,Command Line Parsers,"command-line,cli,parser",true,,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.2/commons-cli-1.2.jar,temp/dependencies/weiboad/fiery/commons-cli/commons-cli/1.2/commons-cli-1.2.jar
org.springframework.boot,spring-boot-starter-mail,1.5.2.RELEASE,,"spring,mail,starter",true,,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-mail/1.5.2.RELEASE/spring-boot-starter-mail-1.5.2.RELEASE.jar,temp/dependencies/weiboad/fiery/org/springframework/boot/spring-boot-starter-mail/1.5.2.RELEASE/spring-boot-starter-mail-1.5.2.RELEASE.jar
org.apache.lucene,lucene-grouping,7.2.1,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-grouping/7.2.1/lucene-grouping-7.2.1.jar,temp/dependencies/weiboad/fiery/org/apache/lucene/lucene-grouping/7.2.1/lucene-grouping-7.2.1.jar
org.springframework.boot,spring-boot-starter-freemarker,1.5.2.RELEASE,,"spring,template,starter",true,,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-freemarker/1.5.2.RELEASE/spring-boot-starter-freemarker-1.5.2.RELEASE.jar,temp/dependencies/weiboad/fiery/org/springframework/boot/spring-boot-starter-freemarker/1.5.2.RELEASE/spring-boot-starter-freemarker-1.5.2.RELEASE.jar
org.jetbrains,annotations,15.0,Defect Detection Metadata,"annotations,analysis,defect,metadata",true,,https://repo1.maven.org/maven2/org/jetbrains/annotations/15.0/annotations-15.0.jar,temp/dependencies/weiboad/fiery/org/jetbrains/annotations/15.0/annotations-15.0.jar
org.apache.kafka,kafka-clients,0.9.0.0,,"streaming,kafka,apache,client",true,,https://repo1.maven.org/maven2/org/apache/kafka/kafka-clients/0.9.0.0/kafka-clients-0.9.0.0.jar,temp/dependencies/weiboad/fiery/org/apache/kafka/kafka-clients/0.9.0.0/kafka-clients-0.9.0.0.jar
org.springframework.boot,spring-boot-starter-actuator,1.5.2.RELEASE,,"spring,starter",true,,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-actuator/1.5.2.RELEASE/spring-boot-starter-actuator-1.5.2.RELEASE.jar,temp/dependencies/weiboad/fiery/org/springframework/boot/spring-boot-starter-actuator/1.5.2.RELEASE/spring-boot-starter-actuator-1.5.2.RELEASE.jar
org.apache.lucene,lucene-queryparser,7.2.1,,"lucene,apache,index",true,,https://repo1.maven.org/maven2/org/apache/lucene/lucene-queryparser/7.2.1/lucene-queryparser-7.2.1.jar,temp/dependencies/weiboad/fiery/org/apache/lucene/lucene-queryparser/7.2.1/lucene-queryparser-7.2.1.jar
org.apache.httpcomponents,httpclient,4.5.2,HTTP Clients,"apache,client,http",true,,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.5.2/httpclient-4.5.2.jar,temp/dependencies/weiboad/fiery/org/apache/httpcomponents/httpclient/4.5.2/httpclient-4.5.2.jar
